Gene	High.2838c3.rep1.RNAseq.mm10.featureCounts.gene.txt	High_6499c4.rep2.RNAseq.mm10.featureCounts.gene.txt	High_6555c3.rep5.RNAseq.mm10.featureCounts.gene.txt	High_6556c4.rep7.RNAseq.mm10.featureCounts.gene.txt	High_6620c1.rep3.RNAseq.mm10.featureCounts.gene.txt	Low.6694c2.rep3.RNAseq.mm10.featureCounts.gene.txt	Low_2699c4.rep8.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep5.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep6.RNAseq.mm10.featureCounts.gene.txt	Low_6694c2.rep7.RNAseq.mm10.featureCounts.gene.txt
Aga	3558	1406	1369	832	1683	2889	492	1930	1712	1726
Gm609	8	19	24	11	32	8	3	4	2	0
Ifit3b	344	30	48	52	48	154	12	392	278	189
Rpl34	627	184	187	121	206	450	68	427	475	432
Clec4a4	2	0	0	8	0	2	2	10	0	0
Mtus1	7480	4555	5698	3189	5529	3987	774	2427	1557	1810
Zmiz2	9046	5357	6571	4115	6455	12719	1529	7155	6608	7616
Erbin	30238	11241	15327	7690	15418	14539	4170	17965	21001	18503
Zbtb9	1372	816	965	502	1000	1292	227	1058	745	938
Epb41l1	5590	2635	3089	1906	3030	7311	430	3063	3832	4680
Pramel25	0	0	0	0	0	0	0	0	0	0
Phactr3	0	2	0	0	0	0	2	0	0	0
Adam22	452	370	388	257	433	176	66	202	72	72
Tdpoz2	0	0	0	0	0	0	0	4	0	0
Clec3a	0	0	0	0	0	0	0	0	0	0
Taar2	0	0	0	0	0	0	0	0	0	0
Dusp13	108	54	58	46	125	60	10	38	20	19
Zdhhc23	202	152	188	152	205	87	77	142	84	36
Gsdma3	0	0	0	0	0	0	0	0	2	0
Pabpn1l	4	0	0	0	2	0	0	1	0	0
Spag8	6	14	10	2	2	22	6	6	3	5
Rffl	2535	1473	1689	966	2010	2196	437	1812	1173	1258
Noto	0	0	0	0	0	0	0	0	0	0
Slc7a6os	5394	2399	2656	1611	2868	4960	776	3735	3231	3885
Zfp251	1026	360	490	245	484	1426	109	1268	1276	1236
Pnmal1	0	0	0	0	0	2	0	0	0	0
Slc25a42	1195	783	864	512	952	509	93	483	238	203
D8Ertd738e	8933	4735	5776	3388	5808	7404	1460	6036	4612	5452
Trpv5	2	0	0	0	0	2	0	0	0	0
Maneal	8	8	0	6	13	8	4	3	2	3
Zfp58	604	322	376	147	321	680	100	628	475	401
Gucy2f	0	0	0	0	4	0	0	2	0	0
Tceanc	637	428	632	348	526	622	111	462	405	379
Armcx6	33	48	38	26	32	13	4	113	32	2
Pramel20	2	0	0	0	2	0	0	2	0	0
Fndc3c1	10	0	2	4	0	8	0	0	0	0
Trp53rka	1715	703	850	608	941	1772	179	1145	839	1121
Defa39	0	0	0	0	0	0	0	0	0	0
Best3	24	13	10	14	18	8	0	15	0	1
Gm11541	0	0	0	0	0	0	0	0	0	0
Akirin2	6947	2342	2784	1528	3307	8644	854	4864	3602	4996
Rtn1	70	44	98	68	68	58	10	86	18	2
Rtp2	0	0	0	0	0	0	0	0	0	0
Daam2	363	283	255	218	266	136	28	234	59	40
Asap3	731	570	734	455	646	270	66	433	117	31
Plekhn1	1719	1171	1550	952	1495	1676	219	1113	606	880
Bnip2	15569	5810	7486	4144	7966	15158	1425	10228	6978	9142
Aox2	21	4	0	5	15	8	0	3	16	8
Cdh12	0	0	0	0	0	0	0	0	0	0
Nol10	2773	1409	1673	889	1847	2899	717	2548	1962	1845
Scaf1	11160	5388	6781	4216	6818	13927	1397	7520	7863	10114
Ccdc177	0	0	4	0	8	0	0	0	2	0
Cdsn	444	186	176	197	207	326	79	146	204	293
Thoc6	2307	1373	1516	870	1570	1947	234	1535	1377	1380
Teddm1b	5	0	0	1	0	0	0	1	4	2
Zfp975	349	193	192	101	237	144	36	188	155	168
Fbxw20	0	3	0	0	0	0	0	0	0	0
Taar3	0	0	0	0	0	0	0	0	0	0
P2ry14	396	274	364	216	266	118	24	376	50	30
Wdr34	2823	1281	1561	897	1710	2435	383	1514	1099	1353
Taar4	0	0	0	0	0	0	0	0	0	0
Zfp760	1808	576	730	366	749	663	215	788	648	812
Bbs12	2265	929	947	532	1077	1364	287	1445	1106	1032
Zc3h14	11349	5811	6844	3831	7038	10941	1998	9755	6979	7124
Adora1	1477	776	948	560	1033	1196	96	157	84	363
Mxi1	12122	4008	4864	2886	5628	16341	1876	5402	4938	9830
1700001J03Rik	16	4	2	0	0	0	2	3	11	2
Pde2a	2801	2033	2400	1356	2465	1814	205	1883	327	466
Zfp658	424	304	257	140	320	615	70	279	232	300
Zfyve26	6083	3716	4481	2571	4568	5434	1035	4104	2889	3194
Il4ra	16126	10553	12005	7889	13023	28813	2566	20747	12147	16357
Dab2	4789	3756	4783	3100	4984	7687	480	8510	1647	2368
Bud31	4115	1954	2168	1252	2514	4192	717	3934	2194	2613
Calm5	0	0	0	0	0	0	0	0	0	0
Kbtbd8	114	70	42	66	104	54	54	208	118	128
Whrn	477	252	247	226	230	1825	32	314	244	1074
Tmem232	20	6	0	6	14	4	0	0	0	0
Adam6b	0	0	0	0	0	0	0	0	0	0
Naaladl1	87	51	37	36	77	69	14	106	54	77
Adam26b	0	0	0	0	0	0	0	0	0	0
Adam20	0	0	0	0	6	0	0	0	2	2
Zfp36l3	0	2	4	0	0	0	0	0	0	0
Mup21	6	2	38	0	16	0	0	0	0	0
Unc13d	4175	2741	3317	2011	3281	3351	655	2125	1257	2361
Taar5	0	0	0	0	0	0	0	0	0	0
Armcx5	745	373	531	208	589	576	88	383	259	279
Septin11	26931	10902	14797	8051	14708	21947	3362	14045	12848	17832
A3galt2	103	34	39	23	65	134	9	61	95	144
Mief2	1337	862	1142	555	1103	1241	202	880	730	594
Brsk2	3	2	8	0	13	6	0	0	0	0
Txnip	27403	16725	20649	12479	21118	13835	3972	17835	16313	5886
Il19	8	0	0	0	0	4	2	4	0	0
Dock11	5477	2386	2989	1520	3087	2203	1012	4973	4262	3570
Nrsn2	0	2	0	0	0	0	0	0	0	0
Slc25a51	9827	5708	7071	3816	6875	11817	1277	7547	7410	7515
Slc38a8	6	0	0	1	2	0	0	0	0	0
Cep44	2137	680	886	586	1071	1712	299	1086	902	1015
Scgb2b20	0	0	0	0	0	0	0	0	0	0
Pde1a	378	264	248	132	262	160	22	199	30	29
Slc10a7	3230	1456	1677	1082	1855	3859	516	2496	1837	2498
Ficd	1186	642	880	544	940	811	124	507	351	514
Kctd14	208	89	158	102	108	113	16	106	157	24
Taar7b	0	0	0	0	0	0	0	0	0	0
Taar6	0	0	0	0	0	0	0	0	0	0
Taar7a	0	0	0	0	0	0	0	0	0	0
Taar8a	0	0	0	0	0	0	0	0	0	0
Taar9	0	0	0	0	0	0	0	0	0	0
Mdc1	4872	2320	3092	1846	3021	5659	811	3641	3312	3689
Slc10a5	276	100	162	88	112	42	10	42	8	2
Taar7e	0	0	0	0	0	0	0	0	0	0
Ppp1r13l	4132	1927	2465	1705	2439	5785	479	3228	3599	4717
Taar8b	0	0	0	0	0	0	0	0	0	0
Taar7d	0	0	0	0	0	0	0	0	0	0
Taar7f	8	0	0	0	0	0	0	0	0	0
Taar8c	0	0	0	0	0	0	0	0	0	0
Mrps33	1643	459	810	299	793	1301	270	1246	804	940
Gjb6	0	0	0	0	0	0	0	0	2	0
Gpr12	4	0	0	4	2	0	0	0	0	0
Hrh2	22	58	46	18	36	42	8	169	44	6
Olfr1193	0	0	0	0	0	0	0	0	0	0
Olfr94	0	0	0	0	0	0	0	0	0	0
Olfr1148	0	0	0	0	0	0	0	0	0	0
Olfr310	0	0	0	0	0	0	0	0	0	0
Olfr913	0	0	0	0	0	0	0	0	0	0
Olfr1418	0	0	0	0	0	0	0	0	0	0
Olfr1415	0	0	0	0	0	0	0	0	0	0
Olfr503	0	0	0	0	0	0	0	0	0	0
Olfr456	2	0	12	0	8	1	0	2	2	2
Olfr1251	6	2	20	2	9	8	0	4	0	0
Olfr723	0	0	0	0	0	0	0	0	0	0
Olfr329	0	0	0	0	0	0	0	0	0	0
Olfr1037	6	0	0	0	0	0	0	0	0	0
Olfr688	0	0	0	0	0	0	0	0	0	0
Olfr988	0	0	0	0	0	0	0	0	0	0
Olfr1182	0	0	0	0	0	0	0	0	0	0
Olfr566	0	0	0	0	0	0	0	2	0	0
Olfr1532-ps1	0	0	0	0	0	0	0	0	0	0
Olfr180	0	0	0	0	0	0	0	0	0	0
Nms	0	0	0	0	0	0	0	0	0	0
Rnase13	4	0	0	0	0	0	0	0	0	0
Olfr1000	0	0	0	0	0	0	0	0	0	0
Cyp2c66	6	0	0	0	0	0	0	2	0	0
Olfr102	0	0	0	0	0	0	0	0	0	0
Xkr7	0	0	0	0	0	0	0	0	2	0
Olfr288	0	0	0	0	0	0	0	0	0	0
Olfr1116	0	0	0	0	0	0	0	0	0	0
Olfr1066	0	0	0	0	0	0	0	0	0	0
Olfr205	0	0	0	0	0	0	0	0	0	0
Olfr1357	0	0	0	0	0	0	0	0	2	0
Olfr744	0	0	0	0	0	0	0	0	0	0
Olfr885	0	0	0	0	0	0	0	0	0	0
Olfr225	4	0	0	0	2	0	0	0	0	0
Olfr1386	0	0	0	0	0	0	0	0	0	0
Olfr479	0	0	0	0	0	0	0	0	0	0
Olfr324	0	0	0	0	0	0	0	0	0	0
Olfr867	0	0	0	0	0	0	0	0	0	0
Olfr704	0	0	0	0	0	0	0	0	0	0
Olfr294	0	0	0	0	0	0	0	0	0	0
Olfr298	0	0	0	0	0	0	0	0	0	0
Olfr293	0	0	0	0	0	0	0	0	0	0
Olfr115	0	0	0	0	0	0	0	0	0	0
Olfr735	0	0	0	0	0	0	0	0	0	0
Olfr671	0	0	0	0	0	0	0	0	0	0
Olfr948	0	0	0	0	0	0	0	0	0	0
Olfr663	0	0	0	0	0	0	0	0	0	0
Olfr1016	0	0	0	0	0	0	0	0	0	0
Olfr1031	0	0	0	0	0	0	0	0	0	0
Olfr314	0	0	0	0	0	0	0	0	0	0
Olfr1229	0	0	0	0	0	0	0	0	0	0
Olfr299	0	0	0	0	0	0	0	0	0	0
Olfr317	0	0	0	0	0	0	0	0	0	0
Olfr332	0	0	0	0	0	0	0	0	0	0
Olfr1089	0	0	0	0	0	0	0	0	0	0
Olfr1287	0	0	0	0	0	0	0	0	0	0
Olfr1028	0	0	0	0	0	0	0	0	0	0
Olfr1419	2	0	0	0	0	0	0	0	0	0
Olfr527	0	0	0	0	0	0	0	0	0	0
Olfr1042	0	0	0	0	0	0	0	0	0	0
Olfr285	0	0	0	0	0	0	0	0	0	0
Olfr286	0	0	0	0	0	0	0	0	0	0
Olfr287	0	0	0	0	0	0	0	0	0	0
Olfr543	10	4	0	2	3	18	2	12	9	6
Olfr1039	0	0	0	0	0	0	0	0	0	0
Olfr987	0	0	0	0	0	0	0	0	0	0
Olfr1307	0	0	0	0	0	0	0	0	0	0
Olfr1432	0	0	0	0	0	0	0	0	0	0
Olfr222	0	0	0	0	0	0	0	0	0	0
Olfr1382	0	0	0	0	0	0	0	0	0	0
Olfr193	0	0	0	0	0	0	0	0	0	0
Olfr207	0	0	0	0	0	0	0	0	0	0
Olfr598	0	0	0	0	0	0	0	0	0	0
Olfr1322	0	0	0	0	0	0	0	0	0	0
Olfr1275	0	0	0	0	0	0	0	0	0	0
Olfr1249	0	0	0	0	0	0	0	0	0	0
Olfr782	0	0	0	0	0	0	0	0	0	0
Olfr884	0	0	0	0	0	0	0	0	0	0
Olfr453	0	0	0	0	0	0	0	0	0	0
Olfr212	0	0	0	0	0	0	0	0	0	0
Olfr213	0	0	0	0	0	0	0	0	0	0
Olfr1318	0	0	0	0	0	0	0	0	0	0
Olfr1306	0	0	0	0	0	0	0	0	0	0
Olfr1211	0	0	0	0	0	0	0	0	0	0
Olfr1385	0	0	0	0	0	0	0	0	0	0
Olfr901	0	0	0	0	0	0	0	0	0	0
Olfr191	0	0	0	0	0	0	0	0	0	0
Olfr198	0	0	0	0	0	0	0	0	0	0
Olfr728	0	0	0	0	0	0	0	0	0	0
Olfr485	0	0	0	0	0	0	0	0	0	0
Olfr487	0	0	0	0	0	0	0	0	0	0
Olfr951	0	0	0	0	0	0	0	0	0	0
Olfr93	0	0	0	0	0	0	0	0	0	0
Olfr524	0	0	0	0	0	0	0	0	0	0
Olfr533	0	0	0	0	0	0	0	0	0	0
Olfr1181	0	0	0	0	0	0	0	0	0	0
Olfr316	0	0	0	0	0	0	0	0	0	0
Olfr312	0	0	0	0	0	0	0	0	0	0
Olfr1359	0	0	0	0	0	0	0	0	0	0
Olfr804	0	0	0	0	0	0	0	0	0	0
Olfr787	0	0	0	0	0	0	0	0	0	0
Olfr834	0	0	0	0	0	0	0	0	0	0
Olfr832	0	0	0	0	0	0	0	0	0	0
