Genes	neg1	neg2	neg3	neg4	pos_1	pos_2	pos_3	control_1	control_2
RP24-363O2.1	0	0	0	0	0	0	0	1	0
Atp6v1h	1133	1025	1100	1148	2555	2016	1237	781	844
RP23-267J18.11	0	0	0	0	0	0	0	1	0
RP23-267J18.10	0	0	0	0	1	0	2	0	0
RP23-335P21.1	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	0	1	0	0	1
RP23-238E7.2	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	1	0	0	0
RP23-354J2.1	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	1	0
RP23-74E8.1	0	0	0	0	0	0	0	0	0
Rb1cc1	1040	1088	744	1142	1855	1344	951	1100	830
AC139064.2	30	28	35	18	195	179	49	47	25
Fam150a	0	0	0	0	0	0	0	0	0
RP23-76C20.3	7	9	7	6	29	15	19	22	19
RP23-76C20.2	0	0	0	0	0	0	0	0	0
RP23-76C20.4	9	8	7	10	32	9	9	4	0
St18	0	1	0	0	1	2	3	1	1
RP23-299N6.3	0	0	0	0	0	0	0	0	0
RP23-299N6.1	0	0	0	0	0	0	0	0	0
RP23-5K7.4	45	40	35	38	90	54	61	120	173
RP23-76C20.5	0	0	0	0	0	0	0	0	0
RP23-5K7.3	0	0	0	0	0	0	0	0	0
RP23-5K7.2	0	0	0	0	0	0	0	0	0
RP23-5K7.1	0	1	0	0	0	0	0	0	0
Pcmtd1	2561	2362	2069	2102	3026	2221	2108	1707	1526
RP24-149G24.1	6	2	0	3	6	8	5	12	26
WI1-817D1.2	44	49	18	36	42	19	13	1	0
RP23-278C19.3	7407	6749	4853	6598	1223	808	2633	84	111
Nras-ps2	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0
RP23-278C19.1	0	0	0	0	0	0	0	0	0
RP24-263A16.1	2	5	3	5	18	9	3	5	5
RP24-263A16.2	0	0	0	0	0	0	0	0	0
RP24-181G14.2	0	0	0	0	0	0	0	0	0
RP24-181G14.1	0	0	0	0	0	0	1	0	1
RP23-404K2.2	0	1	0	0	0	1	0	1	0
Rps2-ps2	0	0	0	0	0	0	0	0	0
RP23-408B17.1	0	0	0	0	0	0	0	0	0
Sntg1	2	3	4	3	12	11	30	0	7
RP23-241G23.1	0	0	0	0	0	0	0	0	0
AC102786.2	1	2	1	6	8	8	17	7	14
RP23-311L17.1	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0
RP24-442E5.1	0	0	0	0	0	0	0	0	0
AC163389.1	39	55	56	57	113	69	77	60	17
RP23-397E23.1	112	113	123	108	181	144	206	104	151
Gm24276	23	21	24	15	94	81	65	83	142
AC118192.1	0	0	0	0	2	0	0	2	0
RP23-200C17.1	0	0	0	0	0	0	0	1	0
AC122738.1	43	23	22	38	76	60	46	104	105
RP23-331M15.1	0	0	0	0	0	0	0	0	1
RP23-331M15.2	0	0	0	0	0	0	0	0	0
RP23-411P10.1	0	0	0	0	0	0	0	0	0
RP23-411P10.5	1	0	1	3	5	3	4	1	2
RP23-411P10.3	0	0	0	0	0	0	0	0	0
RP23-411P10.2	0	0	0	0	0	0	0	2	0
Gm24765	0	0	0	0	0	0	0	0	0
RP24-361E12.1	1	1	3	2	6	3	1	2	2
Rrs1	362	459	336	378	326	259	354	307	267
Adhfe1	2740	2205	2398	2145	6876	4970	2718	673	923
AC103620.4	7	6	5	5	28	20	71	22	32
AC103620.1	110	96	76	89	216	170	203	121	84
AC103620.3	4	2	0	0	0	0	15	0	1
RP24-219C22.3	0	0	0	0	0	0	0	0	0
Mybl1	11	9	5	10	82	41	93	18	27
Vcpip1	843	854	582	841	1057	744	1198	599	400
RP23-228O9.1	21	19	24	21	37	27	14	13	3
Sgk3	214	167	166	186	664	522	696	533	329
RP23-228O9.3	0	1	0	2	2	1	1	1	1
Gm22607	0	0	0	0	0	0	0	0	0
Mcmdc2	0	2	2	0	11	8	12	19	1
Snhg6	125	102	174	103	199	148	204	369	418
Snord87	2	0	3	2	2	4	4	8	4
Tcf24	15	4	1	6	407	344	6	6	6
RP23-228G18.3	1	0	1	0	3	1	0	0	0
Ppp1r42	2	0	1	2	9	5	3	30	3
AC102570.3	0	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0
Cops5	1391	1146	1179	1135	1609	1221	1337	2701	2275
Cspp1	464	446	356	421	1009	805	302	183	132
RP23-228G18.5	0	0	0	0	0	0	0	0	0
Arfgef1	1855	1724	1207	1590	3651	2236	1430	1575	1025
Gm26348	0	0	0	0	0	0	0	0	0
RP24-327F2.1	0	0	0	0	0	0	0	0	0
Cpa6	0	0	0	0	1	0	0	0	0
RP23-418C16.1	0	0	0	0	0	0	0	0	0
AC102469.1	13	15	9	14	36	15	14	10	20
Gm25253	0	0	0	0	0	0	0	0	0
AC102426.1	0	0	0	0	0	0	0	0	0
RP24-88A10.2	0	0	0	0	0	0	0	0	0
RP24-88A10.1	0	0	0	0	0	1	0	1	1
RP24-467J24.1	0	0	0	0	0	1	0	0	0
Gm22963	0	0	0	0	0	0	0	0	0
Prex2	113	60	77	116	508	430	163	111	95
Gm24173	0	0	0	0	0	0	0	0	0
RP24-427A3.1	1	1	0	0	1	0	0	1	3
RP23-366M5.2	0	0	0	0	0	0	0	0	0
AC103635.1	0	0	0	0	2	4	0	9	24
RP23-2K13.1	0	0	0	0	0	0	0	0	0
RP24-467J24.2	0	0	0	0	0	0	0	0	0
RP24-239K20.1	0	0	0	0	0	0	0	0	0
RP23-334J7.1	17	13	16	20	56	51	29	2	11
Gm22633	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0
RP23-138D5.1	0	1	1	0	0	2	0	2	3
RP24-331K22.1	0	0	0	0	0	0	0	0	0
RP24-331K22.3	0	0	0	0	0	0	0	0	0
RP24-331K22.2	0	0	0	0	0	0	0	0	0
Sulf1	26	34	7	12	135	130	118	160	493
Slco5a1	1	0	0	0	5	9	1	438	195
RP24-178B14.2	0	0	0	0	0	0	0	0	0
RP24-178B14.3	0	0	0	0	0	0	0	0	0
RP24-178B14.1	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	1	1	3	0	0
Ncoa2	1019	775	647	662	1334	967	865	363	349
RP23-93D12.2	2	0	1	1	1	1	0	0	0
RP23-93D12.1	2	0	0	1	0	0	1	1	0
Gm27881	0	0	0	0	0	0	0	0	0
RP23-125I14.4	0	0	0	0	1	0	0	0	0
RP23-125I14.3	0	0	0	0	0	0	0	0	1
Gm23169	0	0	0	0	0	0	0	2	0
RP23-125I14.2	2	1	5	3	3	2	3	1	0
RP23-125I14.1	2	2	2	2	0	1	0	0	0
RP23-125I14.5	0	0	0	0	0	0	0	0	0
RP23-125I14.6	7	10	2	2	1	2	3	2	0
Tram1	3505	3015	2382	2375	3207	2588	4401	1199	1399
Lactb2	7093	5415	5432	5333	18362	13270	4532	549	398
RP23-70F22.2	38	28	16	24	51	31	16	0	0
Xkr9	516	397	337	298	12	15	329	1	0
Gm26273	0	0	0	0	0	0	0	0	0
RP23-70F22.1	1	5	2	4	4	2	2	3	21
RP23-74B7.1	0	0	0	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0
RP24-335B5.1	0	0	0	0	0	0	0	0	0
Eya1	0	0	0	0	7	3	3	203	142
Gm22616	0	0	0	0	0	0	1	0	0
RP24-291C20.1	0	0	0	0	0	0	0	0	0
RP24-356G6.1	0	3	0	4	1	0	9	2	7
Msc	0	7	3	7	6	3	27	14	96
RP23-398C14.1	1	1	1	2	0	0	2	0	3
Smt3h2-ps4	189	274	236	205	752	528	397	429	516
Rpl5-ps1	1950	1815	1577	1683	4250	2865	3055	3650	6448
Trpa1	0	0	0	0	9	0	0	2	0
Gm26345	0	0	0	0	0	0	0	0	0
RP23-143L15.1	9	8	8	7	9	4	7	6	18
Kcnb2	1	2	0	0	7	1	0	1	0
RP23-445B17.1	0	0	0	0	0	0	0	0	0
RP24-66C10.4	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0
RP23-325F17.2	3	4	8	1	9	5	5	6	6
RP23-325F17.1	0	0	0	0	0	0	0	0	0
Terf1	195	173	162	175	328	247	317	241	220
RP23-325F17.4	2	0	2	0	10	1	2	2	0
Sbspon	1	1	1	0	116	33	1	14	18
Gm23259	0	0	0	0	0	0	0	0	0
RP24-178O17.1	1	0	1	0	0	0	0	0	0
AC162442.2	0	0	0	0	1	1	0	0	0
Rpl7	7678	7229	6972	6584	13017	9338	10436	12921	21705
Rdh10	474	421	405	366	1323	1089	411	156	164
RP24-178O17.2	0	0	0	0	0	0	0	1	0
RP24-73D23.1	0	0	0	0	0	0	0	0	0
Stau2	96	58	69	53	466	356	179	869	604
AC167117.2	0	0	0	0	0	0	0	0	0
Ube2w	349	369	327	355	979	698	581	429	440
RP23-382H8.2	1	1	0	0	2	0	1	0	3
Eloc	792	855	807	661	1303	1063	1031	2372	1988
RP23-382H8.4	0	0	0	0	0	0	0	0	0
RP23-382H8.5	3	1	3	3	4	5	3	0	0
Tmem70	667	604	577	523	1399	1086	709	1195	1053
Ly96	81	84	62	87	100	83	232	61	119
RP23-470P10.1	0	0	1	0	0	0	0	0	0
RP23-470P10.2	3	37	8	28	12	9	10	3	3
RP24-254D14.3	0	0	0	0	0	0	0	0	0
RP24-254D14.1	0	0	0	0	0	0	0	0	0
Jph1	38	41	56	60	16	45	8	2859	1227
RP23-110G23.2	0	0	0	0	0	0	0	1	0
Gdap1	0	0	0	0	1	1	0	181	84
RP24-317E22.1	0	0	0	0	0	0	0	0	0
RP24-317E22.2	0	0	0	0	0	0	0	0	0
RP23-215C21.1	0	0	0	0	0	0	0	0	0
Rbm6-ps1	20	17	12	8	34	29	21	32	19
RP23-215C21.3	3	1	2	1	4	1	2	0	4
Gm25166	0	0	0	0	0	0	0	0	0
Pi15	1	2	1	2	43	47	7	29	32
RP23-329F7.2	0	0	0	0	1	2	0	1	0
AC104917.1	0	0	0	0	3	1	0	0	0
Crispld1	0	0	0	0	39	60	1	14	7
RP23-329F7.3	0	0	0	0	0	0	0	0	0
RP24-571A14.1	0	2	0	1	0	0	1	0	2
RP24-571A14.3	0	0	0	0	0	0	0	0	0
RP24-571A14.4	0	0	0	0	0	0	0	1	0
RP24-571A14.6	0	0	0	0	0	0	0	1	0
RP24-571A14.2	0	0	0	0	0	0	0	0	0
RP24-571A14.5	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0
RP24-108N24.2	0	0	0	1	1	1	1	1	0
RP24-284D7.1	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0
RP23-122B3.1	0	0	0	0	0	0	0	0	0
RP23-122B3.2	0	0	0	0	0	0	0	0	0
AC098736.3	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0
AC098736.2	40	37	27	51	133	63	62	110	87
Tfap2b	0	0	1	0	772	656	0	21	5
RP24-119I6.2	0	0	0	0	0	0	0	0	0
RP24-119I6.4	0	0	0	0	0	0	0	0	0
RP24-119I6.5	14	7	7	7	15	6	5	4	7
Gm24633	0	0	0	0	0	0	0	0	0
RP24-132H2.1	0	0	0	0	0	1	0	0	0
Pkhd1	162	79	79	123	4907	3151	135	45	12
RP23-245C4.1	0	0	1	0	29	13	2	0	0
AC101789.2	0	0	0	0	0	0	0	0	0
AC101789.1	2	1	4	2	14	7	1	4	2
Gm24162	0	0	1	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	3	0	70	24
Mir206	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0
Il17f	0	0	0	0	10	6	1	2	1
Mcm3	54	56	48	49	151	113	783	634	333
RP23-191A12.1	0	0	1	0	0	0	0	0	0
RP23-191A12.2	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0
RP23-191A12.5	0	1	0	0	2	0	0	2	0
Paqr8	8	6	6	12	47	20	22	25	29
Gm24171	0	0	0	0	0	0	0	0	0
RP23-191A12.6	0	0	0	0	1	0	0	0	0
Efhc1	1	2	4	2	15	11	3	16	18
Tram2	310	303	292	241	158	132	231	121	156
RP24-278K16.1	0	0	0	0	0	0	0	0	0
RP23-80N7.1	3	3	2	4	14	11	1	5	11
Tmem14a	58	79	87	47	146	86	51	42	41
RP23-278E1.4	0	0	0	0	0	0	0	0	1
Gsta3	31665	27617	22298	27062	3870	2871	20702	212	976
RP23-80N7.2	0	1	0	0	0	0	0	0	1
RP23-278E1.5	0	0	1	0	11	13	2	2	3
RP23-278E1.2	735	362	497	402	135	80	171	10	19
RP23-278E1.3	0	0	0	0	0	0	1	0	0
Khdc1a	0	0	0	0	0	1	4	0	5
AC115920.6	0	0	0	0	0	1	0	1	1
AC115920.7	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	1	2	0	4
AC115920.8	0	0	0	0	0	0	0	0	0
AC115920.9	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	1	0	0
AC115920.4	0	0	0	0	0	0	0	0	0
Kcnq5	4	0	1	0	10	9	3	105	115
RP24-496H1.1	0	0	0	0	0	0	0	0	1
AC115920.2	108	102	144	85	183	151	123	295	328
RP23-322P13.2	0	0	0	0	0	0	0	0	0
Gm26580	0	0	0	0	0	0	0	2	1
RP24-78G8.1	0	0	0	1	1	0	0	0	0
RP24-261D2.1	0	0	0	0	0	0	0	0	0
Rims1	0	0	0	0	5	2	2	0	8
RP23-42E3.1	0	0	0	0	0	0	0	0	0
RP24-495G2.1	0	0	0	0	0	0	0	0	0
RP24-495G2.2	0	0	0	0	0	0	0	19	1
RP24-163I14.1	0	0	0	0	0	0	0	93	5
Gm24176	0	0	0	0	0	0	0	0	0
RP23-28L24.5	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0
RP23-28L24.7	10	9	13	20	22	23	8	4	2
Mir30c-2	0	0	0	0	0	0	0	0	0
RP23-28L24.8	0	0	0	1	5	2	0	0	2
RP23-28L24.9	0	0	0	0	0	0	0	0	0
Ogfrl1	387	411	347	349	413	335	947	661	719
RP24-361E14.1	0	2	1	2	0	1	1	1	1
RP23-25K16.1	0	0	0	0	0	0	0	0	0
B3gat2	1	1	1	0	878	762	0	20	0
Smap1	538	531	548	475	1181	982	758	653	563
Sdhaf4	218	241	309	222	370	301	253	485	585
RP24-287C19.1	1	0	0	0	0	0	0	0	0
Fam135a	664	579	585	576	982	744	613	206	142
RP23-255J24.2	1	1	0	0	2	2	0	0	1
RP23-255J24.1	0	0	0	0	0	0	0	0	0
Col9a1	0	0	0	0	0	0	0	3	4
Col19a1	0	0	0	0	26	21	1	0	1
Gm26418	0	0	0	0	0	0	0	0	0
Tubb4b-ps2	45	49	57	48	74	50	78	63	76
RP23-8J15.7	146419	131354	122472	74301	334544	297181	107032	36651	28215
RP23-8J15.6	28675	26294	24295	21996	55783	50443	18369	4703	3934
RP23-8J15.5	23322	25689	23341	9311	78329	65368	15320	60460	86203
RP23-8J15.4	320566	318607	322442	171156	741916	657718	209643	356408	665655
RP23-8J15.3	393207	385141	383278	188957	924877	791338	292122	265828	378484
RP23-8J15.2	252085	271967	257557	178042	723387	638236	190031	383718	478466
RP23-8J15.1	356800	316816	348427	202031	656876	571222	256159	337099	493406
Lmbrd1	1369	1259	951	1240	1807	1415	1552	740	777
RP23-109H7.1	0	0	0	0	0	0	0	0	0
RP24-178K6.1	0	0	0	0	0	0	0	0	0
RP24-178K6.2	1	1	0	0	5	1	2	2	3
RP24-178K6.3	0	0	0	0	0	0	0	0	0
Adgrb3	0	0	0	0	11	12	0	2	2
AC122187.1	1	0	0	0	0	2	0	2	0
RP23-21P2.4	0	0	0	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0	0	0	0
RP23-21P2.3	0	0	0	0	0	0	0	0	0
RP23-21P2.2	0	0	0	0	0	0	0	0	0
RP23-21P2.5	0	0	0	0	0	0	0	0	0
RP23-21P2.6	0	0	0	0	0	0	0	0	0
RP23-21P2.7	0	0	0	0	0	0	0	0	0
RP23-21P2.8	0	0	0	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0	0	0	0
RP23-347F2.2	0	0	0	0	0	0	0	0	0
RP23-347F2.3	0	0	0	0	0	0	0	0	0
RP23-347F2.1	0	0	0	0	0	0	0	0	0
RP23-478K4.2	0	0	0	0	0	0	0	0	0
RP23-478K4.1	0	0	0	0	1	0	0	0	0
RP23-478K4.3	0	0	0	0	0	0	0	0	0
RP23-184I13.2	0	0	0	0	0	0	0	0	0
RP23-184I13.3	0	0	0	0	0	1	0	0	0
RP23-184I13.4	0	0	0	0	0	0	0	0	0
RP23-184I13.5	0	0	0	0	0	0	0	0	0
RP23-184I13.6	0	0	0	0	0	0	0	0	0
RP23-184I13.7	0	0	0	0	0	0	0	0	0
RP23-184I13.8	0	0	0	0	0	0	0	0	0
RP23-184I13.1	0	0	0	0	2	0	0	0	0
RP24-228I17.1	0	0	0	0	0	0	0	0	0
RP24-264B17.1	0	0	0	0	0	0	0	0	0
Gm24064	0	0	0	0	0	0	0	0	0
RP24-338N17.1	0	0	0	0	0	0	0	0	0
n-R5s209	0	0	0	0	0	0	0	0	0
RP23-76B18.1	0	0	0	0	0	0	0	0	0
RP24-176K12.1	274	317	313	306	126	93	625	0	0
RP24-176K12.2	0	0	0	0	0	0	0	0	0
RP23-12H12.1	3	2	0	0	4	2	1	2	0
RP23-19M20.2	0	0	0	0	0	0	0	0	0
AC122186.1	18	5	11	3	10	14	19	32	32
Gm597	0	0	0	0	0	0	0	0	0
AC121566.1	8	5	0	1	10	10	3	11	8
RP24-365G17.1	0	0	0	0	0	0	0	0	0
RP24-430C1.1	0	0	0	0	0	0	0	0	0
Gm25586	0	0	0	0	0	0	0	0	0
Gm22679	0	0	0	0	0	0	0	0	0
Gm23785	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0
RP23-313K8.2	324	303	218	278	656	408	489	632	829
RP24-229N7.1	0	0	0	0	0	0	1	0	0
Gm23771	0	0	0	0	0	0	0	0	0
Gm27430	0	0	0	0	0	0	0	0	0
RP24-172B22.1	0	0	0	0	0	0	0	0	0
RP24-172B22.2	85	68	73	58	97	62	69	54	61
RP24-172B22.4	0	0	0	0	0	0	0	0	0
Phf3	1106	1182	640	1199	1869	1342	1053	562	488
RP24-172B22.6	1	0	1	0	0	3	0	1	1
RP23-471J16.2	3	1	1	3	0	0	4	1	0
Ptp4a1	2829	3285	2408	2272	2175	1801	2824	2434	3182
AC153137.2	0	0	0	0	1	0	0	0	0
AC121911.1	0	0	0	0	0	0	0	1	0
AC121911.2	0	0	0	0	1	1	0	2	3
RP24-173I18.1	2	0	4	2	0	1	1	3	10
RP24-173I18.2	0	3	0	1	0	0	0	0	0
Gm27362	0	0	0	0	0	0	0	0	0
AC121888.2	0	0	0	0	1	0	0	0	0
RP24-421A2.2	0	0	0	0	0	0	0	0	0
RP24-421A2.1	0	0	0	0	2	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0	0
RP24-142M5.2	0	0	0	0	0	0	0	0	0
RP24-142M5.3	0	0	0	0	0	0	0	0	0
RP24-142M5.1	0	0	0	0	0	0	0	1	0
RP24-342F15.1	0	1	0	0	0	0	0	0	0
RP24-270O22.1	470	325	421	305	93	91	397	118	204
Gm23032	0	0	0	0	0	0	0	0	0
AC134327.1	0	0	0	0	0	1	0	0	0
Khdrbs2	0	0	0	0	8	3	0	2	0
Gm25814	0	0	0	0	0	0	0	0	0
RP23-109J14.2	0	0	0	0	0	0	0	0	0
RP23-109J14.3	0	0	0	0	0	0	0	0	0
RP23-109J14.5	0	0	0	0	0	0	0	0	0
RP24-390L20.1	0	0	0	0	0	0	0	0	0
RP24-390L20.5	0	0	0	0	0	0	0	0	0
RP24-390L20.3	0	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0	0
RP23-28G12.2	0	0	0	0	0	0	0	0	0
Gm23024	0	0	0	0	0	0	0	0	0
RP23-144E24.1	0	0	0	0	0	0	0	0	0
RP23-75G11.1	0	0	0	0	0	0	0	0	0
RP23-75G11.4	3	5	5	6	1	2	3	0	0
RP23-75G11.2	65	65	39	61	144	88	48	73	51
RP23-75G11.3	1	0	0	0	1	0	0	0	0
Gm24901	0	0	0	0	0	0	0	0	0
RP23-154N2.3	0	0	0	0	0	0	0	0	0
RP23-154N2.2	0	0	0	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0	0	0	0
RP23-443F6.1	0	0	0	0	0	0	0	0	0
RP23-125B4.2	0	0	0	0	0	0	0	0	2
Gm23453	0	0	0	0	0	0	0	0	0
Prim2	46	30	43	43	145	81	245	143	121
RP23-125B4.3	6	5	6	4	9	10	16	15	31
RP24-423J19.3	0	0	1	0	0	0	0	0	0
RP24-423J19.6	0	0	0	0	0	0	0	0	0
RP24-423J19.1	1	0	2	4	4	6	1	0	2
RP24-423J19.7	0	0	0	0	0	0	0	0	0
Rab23	96	92	192	103	529	317	244	96	122
Bag2	59	41	31	47	290	200	59	217	150
RP23-32P22.1	0	0	0	0	0	0	0	0	0
Zfp451	295	344	243	318	643	492	493	345	300
AC163668.5	48	45	44	43	59	53	45	25	49
Bend6	2	3	1	0	18	9	43	16	27
RP23-32P22.2	0	0	0	0	1	0	0	0	0
Dst	1601	2856	1218	3069	7819	5316	1980	2293	1629
RP23-87D8.2	0	0	0	0	0	0	0	0	0
RP23-87D8.1	0	0	0	0	0	0	0	0	0
Gm23792	0	0	0	0	0	0	0	0	0
RP23-87D8.4	0	0	0	0	3	0	4	14	16
Mir6896	0	0	0	0	0	0	0	0	0
RP23-151I7.1	0	0	0	1	8	6	1	3	1
RP24-422C24.3	2	1	0	1	0	0	0	0	0
RP24-152H15.5	0	0	0	0	0	0	0	0	0
RP24-152H15.4	0	0	0	0	0	0	0	0	0
RP24-152H15.2	0	0	0	0	0	0	0	0	0
RP24-152H15.3	1	4	3	1	4	5	7	19	17
RP24-554B1.11	0	0	1	2	5	5	6	3	7
Mir5103	0	0	0	0	0	0	0	0	0
Ccdc115	222	237	212	262	389	303	438	425	416
RP24-554B1.1	0	0	1	0	0	0	0	0	0
Imp4	654	560	462	631	991	747	745	338	541
Ptpn18	26	9	17	10	267	286	304	421	908
RP24-554B1.10	0	0	3	1	10	5	13	13	27
RP24-554B1.5	0	0	0	0	0	1	3	5	4
Prss39	0	0	0	0	0	0	0	1	2
RP24-554B1.9	0	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0	0
RP24-554B1.8	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0
RP24-70I14.1	0	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	0	0	0	3
RP24-70I14.3	0	0	0	0	0	0	0	0	0
RP24-70I14.5	0	0	0	0	0	0	0	0	0
RP24-70I14.6	0	0	0	0	0	0	0	0	0
RP24-70I14.4	0	0	0	0	0	0	0	0	0
Arhgef4	3	0	5	5	42	25	21	38	55
RP23-166L24.2	0	0	0	0	0	0	0	0	0
RP23-348C6.5	0	0	0	0	0	0	0	0	0
RP23-348C6.3	5	3	3	7	5	11	9	6	6
Fam168b	1124	983	718	953	1917	1584	1727	958	1230
RP23-348C6.1	0	0	0	0	0	0	0	0	0
Plekhb2	360	337	236	400	6186	4496	1073	1099	893
RP23-348C6.4	0	0	0	0	0	0	0	0	1
RP23-348C6.6	4	5	4	2	6	5	5	6	4
RP23-348C6.7	2	0	1	1	2	1	3	1	1
RP23-309D5.1	0	0	0	0	0	0	0	0	0
Gm25096	0	0	0	0	0	0	0	0	0
RP24-550I15.1	0	0	0	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0	0	0	0
RP23-463E4.1	0	0	0	0	0	0	0	0	1
RP24-72B22.1	0	0	0	0	0	0	1	8	7
RP24-72B22.2	0	0	0	0	0	0	0	0	0
RP24-424K5.3	0	0	0	0	0	0	0	0	0
RP24-424K5.4	0	0	0	0	1	0	0	0	0
RP24-424K5.1	0	0	0	0	0	0	0	0	0
RP24-424K5.2	0	0	0	0	0	0	0	0	0
Hs6st1	1688	2067	1863	1437	1811	1525	1607	346	388
RP24-424K5.5	2	5	1	0	1	0	0	0	0
RP23-173H19.3	4	3	2	6	2	3	55	23	1
Uggt1	2382	2282	1184	2240	1530	1001	1873	740	936
Mir6897	0	0	0	1	0	0	0	0	0
Neurl3	127	78	81	96	326	307	951	605	479
Arid5a	50	64	43	53	83	64	113	179	358
RP23-134L6.5	0	0	0	0	0	0	0	0	0
Kansl3	991	1119	1032	995	1861	1571	887	474	641
Mir6898	0	0	0	0	0	0	0	0	0
Fer1l5	1	1	0	0	1	1	0	0	0
Lman2l	330	498	261	418	751	626	304	341	488
Cnnm4	50	64	31	43	152	99	135	81	71
RP23-294I17.4	1	0	0	1	0	0	3	0	0
Gm47280	0	0	0	0	0	0	0	0	0
Cnnm3	315	228	262	203	363	321	256	198	282
RP23-294I17.6	0	0	0	0	0	0	0	0	0
