Geneid	Length	genome_mapping/Control1.rn6.sorted.bam
Olr1339	945	0
Olr1341	939	0
Olr1344	936	0
Olr1349	960	0
Olr1096	951	0
Olr959	942	0
Olr962	945	0
Olr1218	933	0
Olr1765	939	0
Olr1766	933	0
Olr1767	924	0
Olr1751	939	0
Olr1356	939	0
Olr1369	942	0
Olr1504	939	0
Olr1533	921	0
Olr878	930	0
Olr1065	939	0
Olr1576	930	0
Olr1595	948	0
Olr1596	966	0
Olr1606	954	0
Olr1637	996	4
Olr37	966	2
Olr318	957	0
Olr319	930	1
Olr337	957	1
Olr1687	966	0
Olr1709	939	0
Olr1733	930	0
Olr561	972	0
Olr601	954	0
Olr698	948	0
Olr725	933	0
Olr856	939	0
Olr1121	942	0
Olr1280	960	0
Olr1283	1053	0
Olr1307	936	0
Olr1346	972	0
Olr1619	936	0
Olr1069	945	0
Olr1381	942	0
Olr1393	936	0
Olr1433	984	1
Olr1457	927	0
Olr1481	937	0
Olr1509	936	0
Olr1525	963	0
Olr1538	924	0
Olr1542	927	0
Olr1568	939	0
Olr1581	933	0
Olr1607	948	0
Olr1643	927	0
Olr1657	939	0
Olr1667	945	0
Olr1l	975	0
Olr6	939	0
Olr12	924	0
Olr43	951	0
Olr63	954	32
Olr87	939	0
Olr142	945	0
Olr145	945	0
Olr152	942	0
Olr154	954	0
Olr158	960	0
Olr192	939	0
Olr202	969	0
Olr218	951	0
Olr220	915	0
Olr224	945	0
Olr286	939	0
Olr311	933	0
Olr361	933	0
Olr1693	963	0
Olr390	963	0
Olr395	939	0
Olr399	924	0
Olr482	945	0
Olr522	948	0
Olr532	966	0
Olr536	933	0
Olr541	939	0
Olr542	939	0
Olr577	939	0
Olr578	933	0
Olr690	936	0
Olr705	921	0
Olr710	945	0
Olr722	930	0
Olr724	921	0
Olr729	927	0
Olr741	927	0
Olr742	918	0
Olr744	924	0
Olr745	930	0
Olr777	939	0
Olr791	939	0
Olr838	957	0
Olr854	942	1
Olr857	948	0
Olr858	939	0
Olr859	948	0
Olr879	939	0
Olr916	954	0
Olr927	963	0
Olr960	942	0
Olr987	960	0
Olr1070	960	0
Olr1081	954	0
Olr1091	936	1
Olr1193	963	6
Olr1230	942	0
Olr1257	936	0
Olr1294	936	0
Olr1295	945	0
Olr1328	924	0
Olr796	936	0
Olr795	939	0
Olr788	939	0
Olr785	963	0
Olr784	939	0
Olr782	939	0
Olr780	939	0
Olr778	927	0
Olr776	939	0
Olr772	939	0
Olr771	945	0
Olr767	939	0
Olr757	936	0
Olr756	918	0
Olr749	939	0
Olr737	927	0
Olr734	930	0
Olr733	930	0
Olr727	930	0
Olr726	873	0
Olr717	951	0
Olr716	954	0
Olr715	924	0
Olr712	954	0
Olr711	945	0
Olr704	924	0
Olr701	918	0
Olr695	936	0
Olr693	918	0
Olr691	951	0
Olr681	936	0
Olr675	936	0
Olr670	936	0
Olr665	936	0
Olr660	924	0
Olr654	930	0
Olr653	930	0
Olr652	930	0
Olr650	927	0
Olr649	936	0
Olr648	936	0
Olr646	921	0
Olr641	909	0
Olr640	930	0
Olr636	942	0
Olr635	930	0
Olr634	942	0
Olr633	912	0
Olr625	936	0
Olr624	915	0
Olr623	837	0
Olr621	912	0
Olr613	933	0
Olr608	981	0
Olr604	957	0
Olr594	936	0
Olr590	933	0
Olr587	936	0
Olr586	936	0
Olr584	939	0
Olr582	933	0
Olr581	939	0
Olr569	930	0
Olr566	945	0
Olr563	945	0
Olr562	957	0
Olr559	945	0
Olr557	1023	0
Olr551	938	0
Olr537	939	0
Olr535	942	0
Olr533	936	0
Olr529	945	0
Olr527	948	0
Olr518	951	0
Olr508	942	0
Olr507	942	0
Olr505	942	0
Olr500	954	0
Olr496	942	0
Olr486	960	0
Olr483	960	0
Olr481	945	0
Olr480	942	0
Olr475	933	0
Olr456	915	0
Olr436	930	0
Olr34	939	3
Olr32	1008	0
Olr29	1008	0
Olr25	993	0
Olr24	942	0
Olr16	951	0
Olr14	942	0
Olr1845	953	0
Olr1067	948	0
Olr1060	957	0
Olr1014	945	0
Olr996	936	0
Olr982	936	0
Olr954	954	0
Olr931	939	0
Olr922	945	0
Olr906	938	0
Olr877	939	0
Olr876	939	0
Olr1084	933	0
Olr1083	933	0
Olr1079	933	0
Olr1076	957	0
Olr1523	910	0
Olr1520	936	0
Olr1501	936	0
Olr1496	933	0
Olr1491	939	0
Olr1490	939	0
Olr1488	939	0
Olr1486	939	0
Olr1479	936	0
Olr1471	934	0
Olr1470	945	0
Olr1468	945	0
Olr1558	948	0
Olr1555	930	0
Olr1551	930	1
Olr1541	930	0
Olr1539	921	0
Olr278	945	0
Olr271	945	0
Olr268	945	0
Olr241	933	0
Olr213	927	0
Olr209	951	0
Olr164	966	0
Olr160	969	0
Olr150	933	0
Olr125	960	0
Olr111	948	0
Olr110	966	0
Olr101	951	0
Olr89	951	0
Olr88	948	0
Olr86	939	0
Olr60	963	0
Olr57	945	0
Olr1353	1002	0
Olr1351	960	0
Olr1350	972	0
Olr1345	939	0
Olr363	939	0
Olr360	915	0
Olr358	933	0
Olr348	924	0
Olr347	924	0
Olr336	963	1
Olr331	947	0
Olr330	939	0
Olr322	936	0
Olr312	936	0
Olr310	933	0
Olr306	933	0
Olr289	930	0
Olr7	942	0
Olr1460	927	0
Olr1459	927	0
Olr1455	930	0
Olr1453	927	0
Olr1452	990	0
Olr1450	918	0
Olr1449	921	0
Olr1442	915	0
Olr1435	918	0
Olr1431	948	0
Olr1424	939	0
Olr1421	963	0
Olr1415	1008	0
Olr1414	954	0
Olr1411	933	0
Olr1410	935	0
Olr1408	942	0
Olr1406	912	0
Olr1404	948	0
Olr1388	936	0
Olr1338	948	0
Olr1331	769	0
Olr1329	933	0
Olr1321	933	0
Olr1316	939	0
Olr1313	936	0
Olr1308	933	1
Olr1303	927	0
Olr1291	960	0
Olr1288	945	0
Olr1286	960	0
Olr1275	936	0
Olr1274	933	0
Olr1266	936	0
Olr1262	942	0
Olr1261	942	0
Olr1253	933	0
Olr1250	933	0
Olr1247	921	0
Olr1246	933	0
Olr1245	933	0
Olr1244	933	0
Olr1239	933	0
Olr1236	936	1
Olr1231	951	0
Olr1220	942	0
Olr1213	945	0
Olr1206	927	0
Olr1202	930	0
Olr1201	933	0
Olr1199	936	0
Olr1194	930	0
Olr868	948	0
Olr860	942	0
Olr427	924	0
Olr421	993	0
Olr418	933	0
Olr413	939	0
Olr409	942	0
Olr407	939	0
Olr401	939	0
Olr398	930	0
Olr396	939	0
Olr1642	957	0
Olr1639	942	0
Olr1638	936	0
Olr1633	930	0
Olr1632	975	0
Olr1631	975	0
Olr1622	939	0
Olr1617	936	0
Olr1616	936	0
Olr1614	939	0
Olr821	963	0
Olr819	942	0
Olr818	933	0
Olr816	933	0
Olr813	942	1
Olr812	933	0
Olr811	936	0
Olr809	936	0
Olr808	957	0
Olr807	951	0
Olr804	954	0
Olr803	939	0
Olr799	945	0
Olr844	954	0
Olr386	975	0
Olr1380	942	0
Olr1364	963	0
Olr1192	963	0
Olr1186	999	0
Olr1179	930	0
Olr1166	939	0
Olr1165	930	0
Olr1163	939	0
Olr1162	930	0
Olr1159	930	0
Olr1158	942	0
Olr1156	939	0
Olr1149	972	0
Olr1148	939	0
Olr1144	939	0
Olr1142	939	0
Olr1135	939	0
Olr1129	963	0
Olr1126	939	0
Olr1125	939	0
Olr1122	939	0
Olr1118	966	0
Olr1117	939	0
Olr1115	939	0
Olr1710	939	0
Olr1705	939	0
Olr1692	969	0
Olr1689	972	0
Olr1682	939	0
Olr1680	1044	0
Olr1679	939	0
Olr1678	939	0
Olr1675	939	0
Olr1670	939	0
Olr1726	930	0
Olr837	948	2
Olr832	933	0
Olr831	933	0
Olr830	963	0
Olr829	984	0
Olr827	984	0
Olr826	984	0
Olr825	984	0
Olr824	984	0
Olr1104	960	1
Olr1565	945	0
Olr1602	978	0
Olr1598	933	0
Olr1597	942	0
Olr1591	951	0
Olr1587	939	10
Olr392	951	0
Olr790	939	0
Olr786	936	0
Olr779	939	0
Olr774	939	0
Olr768	939	0
Olr753	918	0
Olr735	930	0
Olr714	954	0
Olr666	936	0
Olr661	927	0
Olr611	957	0
Olr606	942	0
Olr583	933	0
Olr556	924	0
Olr520	927	0
Olr499	942	0
Olr491	939	0
Olr490	942	0
Olr463	954	0
Olr36	909	0
Olr27	942	0
Olr17	957	0
Olr995	921	0
Olr894	936	0
Olr1077	930	0
Olr1500	939	0
Olr1474	939	0
Olr1472	936	0
Olr1535	930	0
Olr260	933	0
Olr255	966	0
Olr194	951	0
Olr179	939	0
Olr162	960	0
Olr114	945	0
Olr109	954	0
Olr1352	969	0
Olr339	960	0
Olr308	933	0
Olr1456	993	0
Olr1451	915	0
Olr1445	921	0
Olr1305	954	0
Olr1292	912	0
Olr1279	948	0
Olr1260	933	0
Olr1237	930	0
Olr1228	942	0
Olr1219	954	0
Olr1200	936	0
Olr419	948	0
Olr410	939	0
Olr1635	987	0
Olr1625	930	0
Olr1609	981	0
Olr820	963	0
Olr810	933	0
Olr806	954	0
Olr802	942	0
Olr1374	942	0
Olr1370	942	0
Olr1366	945	1
Olr1191	928	0
Olr1185	969	0
Olr1172	996	0
Olr1164	942	0
Olr1160	930	0
Olr1132	969	0
Olr1128	936	0
Olr1119	948	0
Olr828	984	0
Olr823	927	0
Olr1108	936	0
Olr1590	948	0
Olr766	939	0
Olr689	936	0
Olr1073	936	0
Olr264	945	0
Olr161	960	0
Olr46	945	0
Olr1417	930	0
Olr1615	936	0
Olr801	942	0
Olr1171	939	0
Olr1681	939	0
Olr1664	951	0
Olr53	945	0
Olr1560	954	0
Olr283	945	0
Olr1405	924	0
Olr1238	930	0
Olr402	939	0
Olr1629	935	0
Olr1174	996	0
Olr1143	939	0
Olr205	951	0
Olr349	924	0
Olr1249	933	0
Olr51	951	0
Olr61	963	0
Olr94	972	0
Olr95	945	0
Olr96	957	0
Olr127	948	0
Olr129	936	0
Olr174	957	0
Olr175	966	0
Olr181	939	0
Olr186	942	0
Olr188	939	0
Olr198	966	0
Olr199	951	0
Olr232	948	0
Olr250	948	0
Olr257	945	0
Olr304	933	0
Olr313	936	0
Olr334	942	0
Olr341	921	0
Olr344	936	0
Olr354	954	0
Olr365	945	0
Olr367	936	0
Olr372	951	0
Olr445	945	0
Olr446	945	0
Olr531	945	0
Olr544	939	0
Olr545	966	0
Olr546	939	0
Olr552	939	0
Olr596	927	0
Olr629	951	0
Olr630	939	0
Olr662	933	0
Olr671	936	0
Olr677	933	0
Olr696	921	0
Olr697	924	0
Olr707	924	0
Olr709	945	0
Olr720	930	0
Olr747	939	0
Olr760	939	0
Olr862	942	0
Olr964	945	0
Olr984	936	0
Olr1022	939	0
Olr1064	939	0
Olr1068	948	0
Olr1105	918	3
Olr1137	930	0
Olr1138	942	0
Olr1195	930	0
Olr1203	948	0
Olr1225	984	0
Olr1233	942	0
Olr1254	933	0
Olr1256	933	0
Olr1318	939	0
Olr1343	939	0
Olr1391	930	0
Olr1392	936	0
Olr1394	930	0
Olr1395	930	0
Olr1396	936	0
Olr1397	933	0
Olr1399	936	0
Olr1400	936	0
Olr1462	957	1
Olr1515	972	0
Olr1528	921	0
Olr1529	921	0
Olr1530	918	0
Olr1531	918	0
Olr1532	918	0
Olr1543	921	0
Olr1545	924	0
Olr1546	924	0
Olr1547	924	0
Olr1548	924	0
Olr1585	917	7
Olr1694	945	0
Olr1697	966	0
Olr1699	966	0
Olr1700	966	0
Olr1701	957	0
Olr1707	939	0
Olr1720	915	0
Olr1722	930	0
Olr1734	942	1
Olr1197	933	0
Olr1347	972	0
Olr1652	927	0
Olr444	945	0
Olr468	939	0
Olr471	939	0
Olr637	930	0
Olr70	942	0
Olr80	954	0
Olr81	939	0
Olr130	924	0
Olr132	948	0
Olr141	951	0
Olr373	951	0
Olr377	945	0
Olr380	948	0
Olr382	945	0
Olr67	939	0
Olr69	939	0
Olr75	960	0
Olr82	945	0
Olr137	966	0
Olr72	1008	0
Olr131	924	0
Olr378	963	0
Olr77	951	0
Olr135	939	0
Olr374	957	0
Olr1512	948	0
Olr1517	948	0
Olr1537	921	0
Olr1536	930	0
Olr917	936	0
Olr905	939	0
Olr920	920	0
Olr907	936	0
Olr883	934	0
Olr908	953	0
Olr903	936	0
Olr1059	981	0
Olr1052	933	0
Olr1051	936	0
Olr1049	895	0
Olr1029	939	0
Olr936	941	0
Olr943	939	0
Olr947	844	0
Olr950	978	0
Olr1002	939	0
Olr219	924	0
Olr1686	954	0
Olr1702	954	0
Olr526	966	0
Olr530	966	0
Olr555	981	0
Olr684	918	0
Olr1090	957	0
Olr1092	957	0
Olr956	939	0
Olr886	945	0
Olr1540	930	0
Olr736	930	0
Olr921	936	0
Olr932	936	0
Olr937	936	0
Olr1093	957	0
Olr1735	927	2
Olr1736	927	0
Olr1737	927	0
Olr1739	930	1
Olr1742	930	0
Olr1743	942	1
Olr1744	939	1
Olr1746	939	0
Olr1748	939	1
Olr1749	939	0
Gtf2ird1	3110	262
Habp2	2162	0
Mrgprd	960	0
Oit3	2287	3
Plppr4	5551	318
Slc25a47	1550	2
Klhl10	2012	6
Gcnt2	4093	451
Gtf2i	3964	3781
Tnfsf12	1538	902
Ablim2	2684	806
Lmo7	5190	354
Usp19	4292	2100
Rnf114	2139	1023
Sucnr1	952	3
Lcn6	726	0
RT1-M2	1035	15
Elp5	1383	489
Fancd2	4307	589
Vmac	516	77
Tmem35a	1945	353
rnf141	975	587
Akap7	1044	137
Ly6g5b	585	4
Ly6g6c	846	32
Ly6g6d	405	6
Ly6g6e	959	12
Lmna	3112	4609
Clint1	1817	778
Sgce	1481	669
Slco4c1	2175	4
Npc1l1	4469	2
Atp6v0e2	862	1014
Olr79	942	0
Ahi1	3141	794
Pofut1	1188	326
Rnf166	1755	493
Mrgprx2	885	14
Mas1l	966	2
Mrgprb13	987	0
Mrgprb5	1062	0
Mrgprx2l	945	0
Mrgprc	972	0
Mrgprb4	972	0
Mrgpre	930	80
Fut8	1728	856
Kprp	2815	0
Olr1384	942	0
Top1mt	1887	177
Bace2	1545	637
Btnl3	2175	4
C1rl	1384	130
C4b	5353	283
Capn11	2620	0
Clic1	1187	3788
Cpa5	2073	1
Atf6b	2507	1779
Ctsql2	1278	0
Ece2	3010	415
Spink7	261	0
Fkbpl	1272	128
Gfpt2	2992	490
Ggt6	1497	3
RT1-T18	1097	1
Cchcr1	2276	421
Wnk1	10755	6917
Mug2	3985	0
Notch4	6483	582
Pbx2	2858	892
Rasl11a	810	16
Rasl11b	1816	304
Rpp21	499	347
Senp17	1428	0
Senp18	1428	0
Smoc1	1359	208
Prm1	156	0
Nenf	654	592
Spata4	1086	0
P2ry13	1011	156
Tanc1	5819	788
Prm3	515	0
Enc1	4521	1277
Eml5	6540	180
Apold1	2883	858
Il22ra2	2505	29
LOC298116	852	0
Pard6a	1319	67
Pmpca	1760	961
Ly6g6f	915	4
Slc38a7	1822	517
Wfdc21	368	0
Clec4d	714	61
Trappc4	863	503
Ufc1	1037	1107
C5ar2	1255	138
Jph4	1891	216
Kcnk18	1329	0
Abhd12b	621	0
Cntfr	1332	378
Prss57	705	1
Dnmt3a	4289	634
Dnmt3b	4281	68
Dnmt3l	1689	1
Dpcr1	1494	0
Gpsm3	1228	380
G4	1994	297
Mpig6b	699	19
Klk1c6	774	0
Gspt1	2545	1014
Tmprss11c	1257	0
Tmprss11b	1263	1
Krt13	1317	3
Krt15	1657	0
Rffl	1721	864
Sapcd1	835	60
Egfl8	1378	402
Ano7	2742	5
Pdha1	2814	1880
Lsm2	945	345
Rnf34	1960	649
Abcg3l1	2018	69
Gk2	1853	0
Cct5	1739	4302
Bpi	1945	0
Gsn	2582	17820
Mpi	1397	1017
Hsp90ab1	2338	25216
Egln2	1988	1073
RT1-Bb	1515	0
Crat	2730	1832
Pon3	1452	329
Pcdh7	3755	432
Lrrc36	2410	34
Sipa1	3123	2044
Tspan5	2852	1667
Il17re	2612	61
Txndc8	431	0
Psma3l	897	0
S100a11	297	4111
Reg4	474	1
Try10	741	0
Cenpc	3132	418
Gjb2	2432	1184
Klk10	840	1
Klk4	771	0
ST7	2098	267
Tacc1	7632	3677
Stfa2l1	312	1
Krt39	1446	1
Krt24	1476	0
Cdk16	3098	3125
Shank2	10065	32
Tbp	1868	235
Tax1bp1	2900	3636
Cops3	1570	1022
Lrrc46	1259	57
Ccl6	348	389
Mcm7	2332	931
Tmem248	1674	1119
Rilpl2	1289	403
Pa2g4	1574	1882
Dhps	1305	508
Cacybp	1523	1322
Hsd17b11	1595	1437
Xbp1	1841	2032
Ddx56	1939	273
Tusc3	1492	817
Saraf	1837	3220
Nqo2	1205	91
Ppic	1355	852
Nox3	1707	0
Katna1	1835	251
Fuca2	1602	573
Etfb	841	801
Emc10	1635	2567
Arfip2	1775	1105
Eef1g	1397	10533
Bcap31	1205	2590
RGD1303003	1277	989
Glmp	1571	2603
Rtca	1354	771
Emcn	1392	201
Nup35	1511	510
Edem2	1873	971
Npdc1	1357	3024
Fscn3	1770	21
Mkrn1	1442	545
Pyroxd1	1756	267
Mrpl37	1453	844
Tspan1	1233	22
Aurkaip1	768	859
Rab21	1490	1033
Dctn2	1652	3686
Gpaa1	2018	1079
Samm50	1611	1371
Arhgap8	1517	44
Rpap3	2195	785
Kansl2	2058	290
Esam	1807	705
Ttc12	2214	178
Ubl7	1362	4290
Tmem30a	1754	3086
Tmed3	1307	1003
Uqcrc1	1567	2665
Maip1	1379	294
Farsb	2161	773
Syap1	1466	712
Mtif2	2175	319
Dek	2553	1807
Sirt5	1342	609
Hspa14	1737	375
Nudt19	1315	197
Pnkp	1666	387
Slc22a18	1468	156
Pyroxd2	1970	138
Cog6	2152	491
Itgb6	2799	4
Knstrn	1454	390
Spint1	2290	141
Ak8	1551	9
Tmem106b	1854	1020
Kdf1	1692	0
Jam3	1882	1100
Snupn	1338	206
Ugt2b35	1869	0
Phf23	1686	822
Ggnbp2	2768	1488
Igfbp4	2163	1028
Cops4	1573	1064
Commd10	1395	602
Pla2g15	2647	765
Tsga10ip	1853	6
Ppid	1331	488
Mmadhc	1308	623
Tbc1d20	1364	799
Tmem178a	1640	233
Eif3d	1845	1752
Zmynd10	1730	123
Tacc2	9192	882
Tacc3	2040	981
Pdia6	1721	5039
Hexa	1779	3769
Zbtb1	3266	391
Rnf113a2	1282	163
Smarca2	5928	2093
Spata21	2431	11
Dear	3253	35
Smgc	2779	1
Dmd	2360	563
Cr1l	2094	1479
Ddx19a	2528	819
Klk1c12	780	0
Acy1	1326	878
Osmr	2888	692
Rps25	466	2678
Ttc1	1435	917
Slc16a13	1904	620
Spata32	1148	10
MGC95210	3252	198
N4bp2l2	1984	735
Sdhc	1149	2468
Ddx59	2148	261
Srfbp1	1499	346
Ik	1995	2551
Fam160a2	3444	433
Smpdl3a	1661	4583
Ppm1j	1686	74
Vps16	2618	953
Wdr34	1882	235
Nasp	2603	830
Morn1	1607	63
Myg1	1163	468
Ttc36	780	0
Tspan3	1615	3905
Leo1	2136	520
