Geneid	Length	genome_mapping/High.2838c3.rep1.RNAseq.mm10.sorted.bam
Adamts7	5472	2616
Arhgef11	6831	7706
Mars1	2963	8862
Slc5a12	5191	0
Zc4h2	2256	637
Atg9a	4107	6567
Usp7	5427	22708
Ddx11	4240	1924
Brsk1	3184	317
Rtn3	5038	30949
Cyp4x1	3985	5
Pid1	2667	2414
Tmem259	2225	15445
Rab3ip	2863	4706
Ces5a	2188	2
Sval3	550	0
Kdm2b	5450	2605
Rab11fip5	6124	13476
Dnmt3b	4327	352
Senp7	8000	2847
Ppp3r2	2985	0
Fam170a	1402	0
Crtc1	5674	2688
Zfp386	4678	3110
Zfp619	5964	432
Ckap2	2601	3451
Cyp2j11	1934	0
Nlrp1a	4806	51
Usp22	4442	20433
Git1	3774	11936
Nlrp4g	2574	0
Fbll1	1505	0
Slc13a5	3485	233
Zfp366	2758	86
A4galt	2130	459
Rtp1	3120	0
Psg22	1880	30
AU018091	3448	10
Rragb	2281	34
9930012K11Rik	1986	726
Scarf1	2884	568
Gm5142	626	0
Clec4b2	1044	0
Gnptab	5342	6278
Sgpp2	3998	1848
AA467197	640	500
Maml3	6512	4500
Celsr2	10628	1269
Frg2f1	1902	198
Fam222a	2693	72
Tmem178b	12018	10
Slc28a1	2846	10
Whamm	3069	2969
Rexo5	2663	522
Zfp560	4732	1300
Gm5617	633	407
BC048562	687	0
Rhox8	1202	0
Nlrp4e	3382	0
Amigo1	5586	2378
Cntnap2	7139	28
Gprasp1	5959	2487
Tpgs2	6805	1068
2610008E11Rik	4229	1647
Nuak1	5634	1410
Asap2	5679	11138
Actr3b	2114	348
Scube3	7107	144
Cxxc4	5618	903
Pik3r6	3513	381
Wapl	6351	16083
Cys1	1838	956
Tacc2	9622	12149
Pigu	1621	3728
Gpr158	7141	16
Pla2g4c	3485	84
Znhit3	1096	694
Olfr1197	945	0
Olfr1200	1011	0
Olfr1024	984	0
Dbx1	2077	0
Hps5	4807	3201
Ypel2	4902	2282
Ypel4	752	119
Sp9	2813	2
Zfp960	2680	263
Spin2c	1306	128
Pramel26	1909	0
Ado	4445	3742
Ppp1r26	5805	340
Jaml	2458	888
Stmnd1	1363	0
Mreg	3530	451
Ajm1	4684	24
Zfp663	3458	0
Zcwpw1	2456	740
Iqsec2	6200	1629
Barhl2	2314	0
Olfr132	942	0
Olfr111	1041	2
Olfr467	921	0
Txlna	4948	7931
Smg7	6181	7773
Arhgap30	4487	1439
Eif2a	2299	10478
Syne2	21718	24289
Lmtk3	5102	221
Olfr231	924	0
Olfr194	921	0
Rsrc2	2556	12570
Olfr1281	918	0
Olfr366	930	0
Olfr707	924	0
Aebp2	8157	16607
Itgb4	6169	21774
Phactr1	5973	200
Parl	1322	4791
Patj	8828	4224
Zfp69	2364	285
Mcoln2	2666	141
Aga	1290	3558
Gm609	2122	8
Ifit3b	2013	344
Rpl34	689	627
Clec4a4	1092	2
Mtus1	7412	7480
Zmiz2	4053	9046
Erbin	6664	30238
Zbtb9	2784	1372
Epb41l1	9051	5590
Pramel25	1838	0
Phactr3	5700	0
Adam22	9451	452
Tdpoz2	1145	0
Clec3a	2930	0
Taar2	1020	0
Dusp13	2597	108
Zdhhc23	5864	202
Gsdma3	2200	0
Pabpn1l	1144	4
Spag8	1667	6
Rffl	4242	2535
Noto	1602	0
Slc7a6os	1533	5394
Zfp251	3504	1026
Pnmal1	4090	0
Slc25a42	3172	1195
D8Ertd738e	661	8933
Trpv5	2600	2
Maneal	2727	8
Zfp58	2359	604
Gucy2f	9998	0
Tceanc	4047	637
Armcx6	2034	33
Pramel20	2103	2
Fndc3c1	4812	10
Trp53rka	1868	1715
Defa39	500	0
Best3	2719	24
Gm11541	1681	0
Akirin2	1719	6947
Rtn1	3917	70
Rtp2	2428	0
Daam2	6045	363
Asap3	5618	731
Plekhn1	2210	1719
Bnip2	6138	15569
Aox2	4776	21
Cdh12	5639	0
Nol10	2986	2773
Scaf1	4177	11160
Ccdc177	4399	0
Cdsn	2757	444
Thoc6	1539	2307
Teddm1b	2527	5
Zfp975	3145	349
Fbxw20	1511	0
Taar3	1032	0
P2ry14	2571	396
Wdr34	1800	2823
Taar4	1044	0
Zfp760	4209	1808
Bbs12	2434	2265
Zc3h14	4184	11349
Adora1	5819	1477
Mxi1	3813	12122
1700001J03Rik	778	16
Pde2a	4987	2801
Zfp658	3381	424
Zfyve26	9368	6083
Il4ra	5219	16126
Dab2	4628	4789
Bud31	974	4115
Calm5	549	0
Kbtbd8	4732	114
Whrn	4406	477
Tmem232	2756	20
Adam6b	2271	0
Naaladl1	2689	87
Adam26b	2405	0
Adam20	2589	0
Zfp36l3	2613	0
Mup21	755	6
Unc13d	3967	4175
Taar5	1014	0
Armcx5	2824	745
Septin11	11141	26931
A3galt2	3390	103
Mief2	2522	1337
Brsk2	4667	3
Txnip	2801	27403
Il19	1124	8
Dock11	6665	5477
Nrsn2	1422	0
Slc25a51	4437	9827
Slc38a8	2622	6
Cep44	1399	2137
Scgb2b20	520	0
Pde1a	5579	378
Slc10a7	3644	3230
Ficd	3161	1186
Kctd14	2557	208
Taar7b	1077	0
Taar6	1038	0
Taar7a	1077	0
Taar8a	1035	0
Taar9	1047	0
Mdc1	7352	4872
Slc10a5	3923	276
Taar7e	1077	0
Ppp1r13l	3130	4132
Taar8b	1035	0
Taar7d	1077	0
Taar7f	1077	8
Taar8c	1109	0
Mrps33	1052	1643
Gjb6	2198	0
Gpr12	2760	4
Hrh2	5937	22
Olfr1193	957	0
Olfr94	1161	0
Olfr1148	945	0
Olfr310	1082	0
Olfr913	1275	0
Olfr1418	957	0
Olfr1415	936	0
Olfr503	972	0
Olfr456	1052	2
Olfr1251	957	6
Olfr723	1006	0
Olfr329	1037	0
Olfr1037	1125	6
Olfr688	966	0
Olfr988	930	0
Olfr1182	1178	0
Olfr566	1066	0
Olfr1532-ps1	1148	0
Olfr180	1142	0
Nms	1001	0
Rnase13	614	4
Olfr1000	945	0
Cyp2c66	1630	6
Olfr102	1027	0
Xkr7	2711	0
Olfr288	2083	0
Olfr1116	924	0
Olfr1066	942	0
Olfr205	918	0
Olfr1357	1160	0
Olfr744	972	0
Olfr885	930	0
Olfr225	1260	4
Olfr1386	1128	0
Olfr479	984	0
Olfr324	1122	0
Olfr867	996	0
Olfr704	948	0
Olfr294	1008	0
Olfr298	999	0
Olfr293	1011	0
Olfr115	995	0
Olfr735	1065	0
Olfr671	942	0
Olfr948	966	0
Olfr663	1035	0
Olfr1016	930	0
Olfr1031	1011	0
Olfr314	1131	0
Olfr1229	936	0
Olfr299	993	0
Olfr317	1128	0
Olfr332	1601	0
Olfr1089	936	0
Olfr1287	918	0
Olfr1028	975	0
Olfr1419	1160	2
Olfr527	918	0
Olfr1042	1097	0
Olfr285	960	0
Olfr286	1451	0
Olfr287	1776	0
Olfr543	1130	10
Olfr1039	960	0
Olfr987	930	0
Olfr1307	939	0
Olfr1432	1044	0
Olfr222	957	0
Olfr1382	936	0
Olfr193	1009	0
Olfr207	918	0
Olfr598	960	0
Olfr1322	933	0
Olfr1275	939	0
Olfr1249	957	0
Olfr782	945	0
Olfr884	930	0
Olfr453	954	0
Olfr212	2672	0
Olfr213	984	0
Olfr1318	1110	0
Olfr1306	939	0
Olfr1211	936	0
Olfr1385	930	0
Olfr901	936	0
Olfr191	930	0
Olfr198	921	0
Olfr728	936	0
Olfr485	954	0
Olfr487	945	0
Olfr951	945	0
Olfr93	939	0
Olfr524	957	0
Olfr533	963	0
Olfr1181	936	0
Olfr316	921	0
Olfr312	927	0
Olfr1359	992	0
Olfr804	945	0
Olfr787	939	0
Olfr834	939	0
Olfr832	939	0
Olfr1105	939	0
Olfr967	933	0
Olfr963	936	0
Olfr304	1002	0
Olfr761	972	0
Olfr119	1116	0
Olfr1500	936	0
Olfr1490	951	0
Olfr1137	933	0
Olfr1152	933	0
Olfr1162	945	0
Olfr1129	945	0
Olfr748	924	0
Olfr1437	1036	0
Olfr1463	933	0
Olfr1465	924	0
Olfr1474	945	8
Olfr597	948	0
Olfr517	945	0
Olfr591	945	0
Olfr675	942	0
Olfr792	936	0
Olfr1505	951	0
Olfr412	939	0
Olfr1029	1061	0
Olfr1425	936	0
Olfr605	1011	0
Olfr169	942	0
Olfr1331	954	0
Olfr685	951	0
Olfr504	957	0
Olfr965	939	0
Olfr1222	936	0
Olfr331	975	0
Olfr699	951	0
Olfr406	972	0
Olfr917	930	0
Olfr624	927	0
Olfr309	927	0
Olfr538	933	0
Olfr1178	972	0
Olfr452	954	0
Olfr1329	942	0
Olfr506	945	0
Olfr1034	1023	16
Xkr9	1926	67
Xkr4	3634	38
Rnase12	545	0
Ang6	714	0
Rnase11	713	0
Trex1	1137	0
Olfr857	930	0
Olfr835	936	0
Olfr1513	942	0
Birc5	3416	3425
Slc39a12	2676	16
Hsd3b3	1826	319
Defa23	418	0
Nsrp1	3116	4220
Slc25a47	1580	6893
Pgbd1	3580	97
Sctr	1922	25
Mup20	886	212
Ecm2	3596	169
Zfp708	2634	342
Zbtb18	5705	5843
Mdk	1403	328
Slc2a9	3865	868
Bpifb1	1712	14
Hacd1	1008	2153
AU022252	1867	976
Hspb6	1853	3768
Hs3st6	1358	16
Ankrd6	5296	96
Cxcl12	7161	4345
Fut10	5095	929
Ehmt1	5107	9586
Klri1	838	2
Rims1	6949	0
Acd	1718	2546
AY761185	486	2
Smim19	1459	2453
Wfdc13	1074	1
Wfdc16	1121	0
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	540
Ear12	471	0
Zfp787	3027	2604
Dhrs7c	1124	273
Lrrn4cl	2600	244
Odf3b	1040	62
Mterf1a	1376	403
Usp13	4686	1574
Tgfbrap1	5719	4155
Ttf2	4541	3547
Tmem263	3778	5007
Ctc1	4167	3245
Npcd	4873	0
Osm	1907	721
Wdr91	2637	2347
Prkaa1	4655	7929
E2f8	3880	2194
Pfdn4	1059	3188
Sesn1	3339	4601
Dtx3l	5181	3167
Nrp	1170	86
Tmprss13	3244	4
Lman2l	2290	2627
Utp18	2613	4342
Rpp38	1027	811
Arhgef39	2402	487
Uspl1	3934	5174
Zfp930	2996	1401
Dync1li2	4633	22582
Rsad1	4151	2366
Lrrc52	1137	16
Podnl1	2080	543
Grm4	5265	4
Rasl10b	4010	346
Zfp182	5944	1335
Mrs2	2161	1283
Scn4b	4757	288
Cpsf6	6572	11835
Gm11487	1323	0
Tcaim	3039	1320
Nkain2	3745	21
Ccl26	282	0
Neurl4	5267	4813
Ric8b	4962	3791
Olfr112	1672	0
Inip	3216	1198
Pard3	8550	12555
Vmo1	672	8
Ercc6l2	6161	4897
Tex24	1767	0
Trim6	3827	522
Ddn	3740	28
Zfp57	3228	7156
Tmem151b	4851	66
Gm597	2882	0
Syna	2918	36
Pcdh17	9509	206
Gm9949	984	40
5730409E04Rik	2855	1467
Grhl3	2791	30
Vwde	6597	6
Lingo3	3559	10
Gas2l2	2943	0
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	291
Ces1a	1979	6
Zscan4c	2276	1
Samd3	3554	6
Capn11	2575	2
Rsl1	2045	454
Lipo3	2842	188
Gm973	4375	2
Nxpe5	2312	254
Kpna7	2328	4
Fbxw24	1490	0
Zfp488	4301	0
Tvp23a	3313	143
Aim2	2537	437
Slc25a34	2682	940
Fam71b	2190	0
Ccdc92b	4002	36
Akr1c19	1242	2918
Zscan26	4362	4804
Vmn1r209	939	0
Otulin	1489	3513
Spink6	777	0
Mettl21c	1086	2
Macrod2	5041	235
Flg2	7671	0
Ankrd13c	4317	7729
Gm5591	3441	0
Fam169b	2876	275
Maml2	6139	3292
Amt	2047	949
Gm5622	1581	0
Sp140	2416	488
Slc22a28	2004	0
Krtap4-16	951	12
Gm5662	1842	0
Dupd1	1103	6
Shf	1928	1479
Gpr31b	960	2
Prkg1	7378	279
Dyrk2	2137	4360
Adgrf3	3099	1
Fbxw22	1824	0
Zfp985	2827	26
Trcg1	2701	22
Abi3bp	4742	748
Scn2b	4562	60
4930404N11Rik	695	0
Zmynd12	1505	25
Snx13	6226	7818
Ttll4	8164	6183
Espl1	6684	2899
Wdr7	7108	3084
Fam189b	3240	6202
Cenpj	4363	787
Klrh1	2000	0
Zfyve28	3980	102
Rap1gap2	7238	5443
G2e3	6726	4906
Dcaf1	5697	5159
E130308A19Rik	5481	952
Tyw1	6626	5178
Taf9	1334	5504
Arid3c	1751	6
Gm21943	1206	0
Gm20815	1796	0
Tbata	2023	0
Ear4	467	0
Kdm6b	6820	9240
Rasef	5183	1269
Cox17	436	3345
Btbd11	5955	2302
Zscan18	3772	142
Lamp2	6772	39377
Ddi2	3539	3746
Zdhhc18	2847	3730
Foxred2	4891	2325
C2cd3	7812	3850
Dppa4	1534	0
Izumo1	1493	2
Grxcr1	1071	0
Otol1	2161	4
Sp3	4428	12542
Rtl8b	1272	280
Lce3f	620	0
Ldoc1	1340	0
Trim15	1866	327
Kbtbd7	4528	956
Anks6	3980	536
Pla2g4d	3286	0
Gpr139	4776	0
Adamts15	6078	714
Nxf3	2978	5
Fbxo10	5970	1170
Pla2g4f	3116	10
Ugt2a2	2536	0
Nufip2	10399	10731
Trappc1	745	2515
Defa24	419	0
Gm5431	2971	51
Crls1	2054	3149
Add1	4516	42992
Bcat1	8102	425
Diras2	4348	471
Cdhr3	2953	37
Dcun1d2	3034	1895
Brd9	2494	4885
Fam149b	3149	2596
Larp4	6747	11006
Shc2	3957	5732
Snx32	1930	984
Cep170b	6640	30745
Ankrd28	5229	11762
Pdp2	5670	1693
Cfap299	861	4
Rabl6	3191	11582
Inpp4b	9795	7566
Xirp2	11971	5710
Tsku	2800	3817
Pcnp	2447	8550
Cdkl5	3246	547
Zfp873	2365	506
Carmil3	5308	98
Methig1	1449	0
Ifnl2	582	0
Cpa2	1325	22
Zbtb45	2238	971
C1ql4	717	2
Mctp2	5789	414
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	500
Krtap10-10	1305	0
Gm3696	2222	0
Cma2	1099	11
Triobp	7736	7661
Gal3st3	2422	26
Cyp2c67	1706	378
Hmcn1	18314	1036
Ifi214	1294	0
Zfp607a	3511	591
Rps23rg1	1621	65
Cebpz	4077	8639
Adarb1	6706	5611
Gm128	1470	16
Hoxc11	915	0
Zfp62	5001	3658
Apol7b	2227	2
Gm14325	4394	1317
Rhox10	760	0
Ankrd34a	2586	42
Timm9	1117	1337
Ttbk2	11268	4739
Septin10	5152	6162
N4bp2	5731	2846
Rfx4	4074	6
Bod1	1402	4748
Trp53i13	1366	846
Ddx49	2193	4128
Cyb5d2	2376	632
Pitpnm3	6666	793
Zfp667	3671	104
Rbfox3	4921	19
Pilrb2	1815	1624
Qsox1	3361	21357
Zfp563	6382	621
Rc3h1	11011	8384
Pbx4	1427	109
Pik3r1	7363	9190
Lrig2	7174	4244
Ntrk2	14037	219
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	10263
Arl14ep	3666	3848
Cracr2b	1687	1603
Ccdc93	7256	4379
Zfp78	4990	182
Cxadr	6951	30062
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	8073
Trp53i11	3322	2259
Vegfa	4174	45450
H2al1e	494	0
Tpd52	6331	33428
Dffa	2672	1725
Tfap2b	6502	0
Stx3	5097	2108
Pja2	4706	13454
St6galnac6	2695	2811
Dclre1b	4288	1332
Tapbp	2750	9994
Defb46	174	0
Gm6040	857	0
Klc1	3180	13150
Rtn2	2102	688
Miip	1813	2100
Serinc4	2534	337
Adcyap1r1	6245	280
Zfp943	2734	1107
Wdr61	1331	4061
Orc2	3561	3220
Sema3g	3686	448
Adam39	2441	0
Gpr17	5193	268
Insyn2b	5371	7
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	4
Olfr243	951	0
Eno1b	1758	5384
Sufu	4525	5093
Bclaf1	5454	15906
Src	3887	19203
Depdc5	8446	3357
Hmga1	2046	1274
Spag9	7864	22571
Btbd3	5111	6069
Crebbp	7507	7129
BC053393	2043	0
Camk2d	8588	18230
Aptx	5747	1286
Sox6	9362	364
Pus1	1887	4463
Lhx9	5750	127
Dmbx1	4032	0
Pde1c	12826	737
Prrx1	7448	3025
Sh2d2a	4758	18
Ankrd12	8991	3558
Slc23a4	2158	43
Bpifb9b	2046	0
Cfhr2	1602	2092
Ccdc141	6329	1414
Maf	3642	2644
Kcnc2	6770	30
Dram2	2722	10941
Kcnj6	6959	0
Nr2c2ap	1193	383
Rfxank	3682	1338
Zbtb43	5177	5193
Ikzf1	5664	695
Trim26	3235	5732
Cadm1	4629	15272
Il1rl1	7096	170
Gm527	1463	288
Tmem171	1169	1519
Gm5168	840	0
Szrd1	3297	12542
Ms4a7	1716	362
Snx22	2585	145
Otud7b	8101	16178
Ccdc50	7048	18573
Cant1	3273	8309
Cdc6	5024	1025
Dnm1l	4270	14230
Dnajc19	2771	2035
Ensa	2962	13161
Entpd5	5076	5513
Npnt	4800	47046
Pik3cd	5404	1223
Pknox2	3550	174
Sla	3135	2190
Slc16a6	4841	1370
Vrk1	4133	3058
Magi1	9853	11544
Psme2	977	5513
Atad5	7272	1657
Ugt2b36	1888	2618
Pdzd4	3972	223
Itgad	3964	54
Unc13a	7960	3459
Urb2	6098	4472
Nova2	8372	236
Lonrf2	6884	48
Usf3	12607	5560
Mex3a	6225	9168
Psg26	2058	0
Ate1	5356	4642
Zswim5	5397	78
Zmynd15	2992	554
Gm5796	1815	4
Zfp114	3111	0
Usp32	6924	7704
Trim38	1480	11
Specc1	10856	12833
Sec14l3	3928	119
Rilp	1487	875
Gm4788	2887	1543
Tceal3	1431	24
Safb2	3277	12426
Sec23ip	4577	7041
Man1b1	3742	11395
Fcrlb	1284	285
Kcp	4888	410
Doxl2	2492	0
Fat2	14423	536
Mettl17	1623	1655
Zc3h18	3816	14329
Mcat	1893	2171
Ndufs5	509	1335
Rdh8	3354	0
Kcnk15	1032	0
Spry3	4346	18
Prr7	1360	172
Tmprss11c	1615	0
Pmp2	1364	5
Dkc1	2978	6942
Abca17	5348	12
Gm16367	2037	0
Nudt10	1751	46
Gsk3a	2259	5223
Lin28b	5403	2
Mrpl41	2423	1788
Kcnh8	4287	0
Smg1	15553	24438
Agxt2	2286	1077
Bglap2	473	0
Pecam1	3333	4015
Pear1	4713	16715
Sybu	4355	114
Klhdc9	1555	14
Ccdc189	2573	117
Acmsd	2303	292
Lrrc14b	2746	338
Rnf17	5147	6
Cd69	1621	40
Gm14288	428	0
Ntrk1	2588	104
Cd27	1576	19
Bbs1	5597	621
Krtdap	462	0
Commd6	875	1825
Rnf149	2434	7890
Rmdn3	2252	3743
Spindoc	3618	3680
Sdhaf1	967	1107
Ecscr	1244	1145
Rnf166	1875	5159
Dipk2a	3950	2636
1700029J07Rik	2744	254
Ttc9	4778	791
Plekhm2	4163	3996
Dnajb14	1851	2673
Fbxo33	3446	2441
5730507C01Rik	2542	3
Rasl12	3876	399
Zfp597	5630	2163
Tradd	1385	3047
Shcbp1l	2045	62
Ephx3	2423	49
2510002D24Rik	1232	2164
Dnajc25	1827	1913
Selenoh	685	4281
Slc22a23	6287	11646
1700066B19Rik	2504	72
Fam83e	2900	1161
Klrg2	2282	837
Rab11fip2	6080	3270
Usp31	10387	3729
Osbp	4587	13897
Cln6	2142	1623
Slc6a21	1732	0
Krt76	2312	57
Tmem181a	4620	1569
Jrkl	2952	2572
1700057G04Rik	1052	0
Ccdc190	1443	28
Skap1	2190	46
C77080	5659	19682
Naa11	3364	72
Fam8a1	3717	10812
Gtf3c3	4764	4087
Znfx1	7349	4800
AU015228	2982	0
Clca4b	2997	0
Ncbp1	3111	9109
Usp30	2790	4334
Rpusd3	1277	632
Zfp575	2741	18
Pwwp2b	2640	3902
Nlrc5	6945	1100
Myzap	2283	7148
Xylb	3978	2451
Pls1	3697	7219
Ezhip	2203	0
Rprml	1072	4
Ttc7b	3508	1639
E330034G19Rik	1587	8
Zfp957	2751	2
Prickle1	4356	1850
Slc45a4	7657	3109
AU021092	1372	173
Mpig6b	2382	12
Pdzd8	7076	13326
Lin7a	6835	214
Pnrc1	1925	15918
Calr4	2527	18
Slc5a10	2263	0
Itga1	5982	9082
Cyp11b1	2398	0
Mcrip1	1694	4459
Tmprss11a	2657	0
Gm9	1663	0
Trim40	2197	11
Vcpkmt	1980	1416
Yeats2	7344	7031
Cblb	6322	7599
Csta1	2731	6
Wfdc6a	867	0
Gm382	4070	0
Cln5	2447	3423
Fancd2	5515	1255
Hk3	3269	407
Ccdc110	4116	0
Cfap44	6583	2
Gm266	1215	17
Zfp583	2765	38
Lemd1	1252	18
Gpr174	5384	10
Gm732	1661	0
Plekhg1	7414	825
Pak6	4193	2379
Gm136	1303	0
Spata5l1	1321	1020
Phactr2	9042	1399
Arfgef3	8216	46
Mcu	2872	8795
Stox1	3475	12
Zfc3h1	6956	9824
Marchf9	1998	850
Agap2	5634	395
Gls2	2489	3357
Gm525	581	0
Qrich2	2162	10
Fam120a	5151	43501
Eif4e1b	2113	0
Slc4a7	7925	6109
Pip4p1	1608	3820
Spata13	7844	10168
5031439G07Rik	7157	11974
Brd1	5137	10883
Gxylt1	6734	6145
Kmt2d	19827	16569
Spryd3	2437	6049
Ilrun	3812	26012
Gm94	748	0
Prdm6	2601	8
Oosp3	807	0
Cryzl2	1632	623
Cdc42bpa	9451	11488
Slc30a10	5835	238
Sbspon	2748	60
Slc9a2	3493	750
Gpr55	2550	123
Usp40	5316	3272
Espnl	5442	19
Uap1l1	1729	8419
Ddx31	3437	1526
Sel1l2	2219	0
Smim26	460	512
Kiz	2166	4019
Zfp217	5843	8543
Gmps	4567	14724
Fhdc1	6073	2784
Ciart	1395	1027
Ampd1	2342	59
Elapor1	6151	844
Ndufb6	659	3973
Shb	2744	6296
Themis2	2542	472
Cox18	1334	1319
Vsig10	4054	2231
Fbxl18	2831	1941
Pdap1	2139	17502
Ccdc61	2010	2181
Hipk4	2414	115
Ffar3	1625	0
Cnga4	2480	2
Cog7	2884	3638
Ppfia1	5259	8745
Tmem231	3000	936
Gucy1a2	13723	82
Zbtb16	7782	5016
Pate14	619	6
Dhrsx	1926	2979
Tmem185a	2513	2400
Arhgef9	5527	222
Frmpd4	9714	7
Gas2l3	6748	2119
Tmtc3	6630	5509
Myrfl	3114	7
Syndig1l	2499	0
Serpina3f	2290	239
Abcc4	5895	10336
Ttc38	3751	2710
Rimbp3	5848	2
Mmp25	3655	112
Lrrc30	1759	28
Zfp407	7908	3738
Cdc42bpg	5994	10473
Sec31b	3923	629
Dusp27	4025	450
Lrrc55	5912	302
D430041D05Rik	10402	0
Ralgapa2	9610	10138
Ankub1	1759	0
Bank1	3267	90
Grin3a	7711	52
Klhl21	3895	7140
Iqsec3	7795	53
Zfp568	7183	5074
Ntn5	2216	23
Cntn5	4270	54
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	3
Cdhr2	4127	6149
Mroh5	2350	0
Mucl3	2608	4415
Nlrc4	3838	2231
Acvr1c	9049	10
Lrrc36	2498	8
Gm648	1040	10
Cdk15	1605	1
Srarp	905	1
Washc4	5858	7008
Dcp1b	3311	509
Itpripl2	6864	29898
Cacna2d4	5949	40
Zfp865	3958	3689
Tbc1d32	7239	1711
Fubp3	3821	10849
Ipcef1	8804	114
Tmem104	4566	1957
Tmem88b	3471	162
Krt26	2600	0
Gfod1	6654	4640
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	214
Gm815	618	0
Rbm44	3851	4
Lgr6	3623	1869
Rnf224	2021	8
Gm826	1097	17
Gm829	1090	0
Shisa3	3754	20
Bsph1	823	0
Ceacam16	1635	252
Dock1	6815	11292
Pate2	2215	15
Thoc2	7619	10441
Gm773	951	0
Fnd3c2	3658	1
Zscan10	2735	8
Grxcr2	1998	0
Lyg2	2564	0
Tmem211	1827	0
Trim75	2504	0
Kdm7a	9553	5620
Nlrp12	4329	934
Heca	3667	4365
Tmem102	1941	0
Gm884	4576	0
Milr1	2474	254
Atxn7l1	6485	2699
Lsmem1	1213	236
Gm906	3152	0
Lrch1	4707	2669
Alg10b	3727	8356
Gm1604b	781	0
Cdkl4	3341	20
Capn13	2614	28
Garem1	4783	3034
Arl14epl	2247	0
Gm960	2262	169
Ap5b1	3142	776
Tmem237	2135	2185
Ifi211	1789	977
Zfp408	3742	3111
Accsl	2687	12
Pdp1	4398	2410
Ccdc27	2084	4
Nom1	3693	7250
Gm1673	552	126
Drc1	2466	462
Lrrc43	2046	2
Tatdn2	3292	10041
Cracr2a	8781	276
Spef1l	1228	76
Zbtb2	3351	2400
Adgrg5	2820	210
Foxr1	1666	3
Cpxcr1	1596	0
Bclaf3	4215	1495
Odf3l2	1248	0
Atxn7l3b	3599	11666
Tmed8	7179	2124
Gm1322	1966	0
Fam47e	2445	23
Gm1527	2119	0
Myrf	5597	37655
