Geneid	Length	genome_mapping/High_6620c1.rep3.RNAseq.mm10.sorted.bam
Sirpb1a	1232	124
Higd1c	506	0
Penk	1593	1022
Nup85	2159	3652
Igfl3	575	0
Try5	801	18
Zfp457	2116	17
Krt77	2931	0
Krt87	1826	239
Gm5414	1723	0
Pcdhac1	5296	0
Pcdhac2	5719	2
Ghrhr	1598	0
Osbpl8	7152	3432
Ralgapa1	9773	3439
Erbb2	4998	4513
Kcnq2	8485	24
Masp2	3217	1404
Tardbp	7454	12580
Cltc	6539	28414
Ankib1	6781	5729
Ttc41	5031	147
Adamts7	5472	1865
Arhgef11	6831	4626
Mars1	2963	5779
Slc5a12	5191	0
Zc4h2	2256	314
Atg9a	4107	5308
Usp7	5427	12283
Ddx11	4240	1137
Brsk1	3184	157
Rtn3	5038	16917
Cyp4x1	3985	1
Pid1	2667	1949
Tmem259	2225	10434
Rab3ip	2863	2831
Ces5a	2188	0
Sval3	550	0
Kdm2b	5450	1609
Rab11fip5	6124	10084
Dnmt3b	4327	294
Senp7	8000	1141
Ppp3r2	2985	0
Fam170a	1402	0
Crtc1	5674	2084
Zfp386	4678	1805
Zfp619	5964	245
Ckap2	2601	1908
Cyp2j11	1934	0
Nlrp1a	4806	59
Usp22	4442	12273
Git1	3774	8166
Nlrp4g	2574	2
Fbll1	1505	0
Slc13a5	3485	188
Zfp366	2758	100
A4galt	2130	403
Rtp1	3120	0
Psg22	1880	2
AU018091	3448	8
Rragb	2281	38
9930012K11Rik	1986	589
Scarf1	2884	472
Gm5142	626	0
Clec4b2	1044	0
Gnptab	5342	5167
Sgpp2	3998	1421
AA467197	640	557
Maml3	6512	2018
Celsr2	10628	630
Frg2f1	1902	95
Fam222a	2693	96
Tmem178b	12018	20
Slc28a1	2846	0
Whamm	3069	2267
Rexo5	2663	261
Zfp560	4732	694
Gm5617	633	344
BC048562	687	0
Rhox8	1202	0
Nlrp4e	3382	4
Amigo1	5586	582
Cntnap2	7139	18
Gprasp1	5959	1415
Tpgs2	6805	849
2610008E11Rik	4229	810
Nuak1	5634	1279
Asap2	5679	6901
Actr3b	2114	288
Scube3	7107	98
Cxxc4	5618	140
Pik3r6	3513	254
Wapl	6351	7505
Cys1	1838	777
Tacc2	9622	8891
Pigu	1621	2096
Gpr158	7141	10
Pla2g4c	3485	76
Znhit3	1096	425
Olfr1197	945	0
Olfr1200	1011	0
Olfr1024	984	0
Dbx1	2077	0
Hps5	4807	2206
Ypel2	4902	1235
Ypel4	752	75
Sp9	2813	2
Zfp960	2680	161
Spin2c	1306	48
Pramel26	1909	0
Ado	4445	2444
Ppp1r26	5805	100
Jaml	2458	810
Stmnd1	1363	0
Mreg	3530	262
Ajm1	4684	28
Zfp663	3458	0
Zcwpw1	2456	280
Iqsec2	6200	1094
Barhl2	2314	0
Olfr132	942	0
Olfr111	1041	16
Olfr467	921	0
Txlna	4948	5176
Smg7	6181	5076
Arhgap30	4487	1416
Eif2a	2299	5119
Syne2	21718	13664
Lmtk3	5102	182
Olfr231	924	0
Olfr194	921	0
Rsrc2	2556	5514
Olfr1281	918	0
Olfr366	930	0
Olfr707	924	0
Aebp2	8157	7146
Itgb4	6169	16215
Phactr1	5973	119
Parl	1322	3491
Patj	8828	3637
Zfp69	2364	236
Mcoln2	2666	139
Aga	1290	1683
Gm609	2122	32
Ifit3b	2013	48
Rpl34	689	206
Clec4a4	1092	0
Mtus1	7412	5529
Zmiz2	4053	6455
Erbin	6664	15418
Zbtb9	2784	1000
Epb41l1	9051	3030
Pramel25	1838	0
Phactr3	5700	0
Adam22	9451	433
Tdpoz2	1145	0
Clec3a	2930	0
Taar2	1020	0
Dusp13	2597	125
Zdhhc23	5864	205
Gsdma3	2200	0
Pabpn1l	1144	2
Spag8	1667	2
Rffl	4242	2010
Noto	1602	0
Slc7a6os	1533	2868
Zfp251	3504	484
Pnmal1	4090	0
Slc25a42	3172	952
D8Ertd738e	661	5808
Trpv5	2600	0
Maneal	2727	13
Zfp58	2359	321
Gucy2f	9998	4
Tceanc	4047	526
Armcx6	2034	32
Pramel20	2103	2
Fndc3c1	4812	0
Trp53rka	1868	941
Defa39	500	0
Best3	2719	18
Gm11541	1681	0
Akirin2	1719	3307
Rtn1	3917	68
Rtp2	2428	0
Daam2	6045	266
Asap3	5618	646
Plekhn1	2210	1495
Bnip2	6138	7966
Aox2	4776	15
Cdh12	5639	0
Nol10	2986	1847
Scaf1	4177	6818
Ccdc177	4399	8
Cdsn	2757	207
Thoc6	1539	1570
Teddm1b	2527	0
Zfp975	3145	237
Fbxw20	1511	0
Taar3	1032	0
P2ry14	2571	266
Wdr34	1800	1710
Taar4	1044	0
Zfp760	4209	749
Bbs12	2434	1077
Zc3h14	4184	7038
Adora1	5819	1033
Mxi1	3813	5628
1700001J03Rik	778	0
Pde2a	4987	2465
Zfp658	3381	320
Zfyve26	9368	4568
Il4ra	5219	13023
Dab2	4628	4984
Bud31	974	2514
Calm5	549	0
Kbtbd8	4732	104
Whrn	4406	230
Tmem232	2756	14
Adam6b	2271	0
Naaladl1	2689	77
Adam26b	2405	0
Adam20	2589	6
Zfp36l3	2613	0
Mup21	755	16
Unc13d	3967	3281
Taar5	1014	0
Armcx5	2824	589
Septin11	11141	14708
A3galt2	3390	65
Mief2	2522	1103
Brsk2	4667	13
Txnip	2801	21118
Il19	1124	0
Dock11	6665	3087
Nrsn2	1422	0
Slc25a51	4437	6875
Slc38a8	2622	2
Cep44	1399	1071
Scgb2b20	520	0
Pde1a	5579	262
Slc10a7	3644	1855
Ficd	3161	940
Kctd14	2557	108
Taar7b	1077	0
Taar6	1038	0
Taar7a	1077	0
Taar8a	1035	0
Taar9	1047	0
Mdc1	7352	3021
Slc10a5	3923	112
Taar7e	1077	0
Ppp1r13l	3130	2439
Taar8b	1035	0
Taar7d	1077	0
Taar7f	1077	0
Taar8c	1109	0
Mrps33	1052	793
Gjb6	2198	0
Gpr12	2760	2
Hrh2	5937	36
Olfr1193	957	0
Olfr94	1161	0
Olfr1148	945	0
Olfr310	1082	0
Olfr913	1275	0
Olfr1418	957	0
Olfr1415	936	0
Olfr503	972	0
Olfr456	1052	8
Olfr1251	957	9
Olfr723	1006	0
Olfr329	1037	0
Olfr1037	1125	0
Olfr688	966	0
Olfr988	930	0
Olfr1182	1178	0
Olfr566	1066	0
Olfr1532-ps1	1148	0
Olfr180	1142	0
Nms	1001	0
Rnase13	614	0
Olfr1000	945	0
Cyp2c66	1630	0
Olfr102	1027	0
Xkr7	2711	0
Olfr288	2083	0
Olfr1116	924	0
Olfr1066	942	0
Olfr205	918	0
Olfr1357	1160	0
Olfr744	972	0
Olfr885	930	0
Olfr225	1260	2
Olfr1386	1128	0
Olfr479	984	0
Olfr324	1122	0
Olfr867	996	0
Olfr704	948	0
Olfr294	1008	0
Olfr298	999	0
Olfr293	1011	0
Olfr115	995	0
Olfr735	1065	0
Olfr671	942	0
Olfr948	966	0
Olfr663	1035	0
Olfr1016	930	0
Olfr1031	1011	0
Olfr314	1131	0
Olfr1229	936	0
Olfr299	993	0
Olfr317	1128	0
Olfr332	1601	0
Olfr1089	936	0
Olfr1287	918	0
Olfr1028	975	0
Olfr1419	1160	0
Olfr527	918	0
Olfr1042	1097	0
Olfr285	960	0
Olfr286	1451	0
Olfr287	1776	0
Olfr543	1130	3
Olfr1039	960	0
Olfr987	930	0
Olfr1307	939	0
Olfr1432	1044	0
Olfr222	957	0
Olfr1382	936	0
Olfr193	1009	0
Olfr207	918	0
Olfr598	960	0
Olfr1322	933	0
Olfr1275	939	0
Olfr1249	957	0
Olfr782	945	0
Olfr884	930	0
Olfr453	954	0
Olfr212	2672	0
Olfr213	984	0
Olfr1318	1110	0
Olfr1306	939	0
Olfr1211	936	0
Olfr1385	930	0
Olfr901	936	0
Olfr191	930	0
Olfr198	921	0
Olfr728	936	0
Olfr485	954	0
Olfr487	945	0
Olfr951	945	0
Olfr93	939	0
Olfr524	957	0
Olfr533	963	0
Olfr1181	936	0
Olfr316	921	0
Olfr312	927	0
Olfr1359	992	0
Olfr804	945	0
Olfr787	939	0
Olfr834	939	0
Olfr832	939	0
Olfr1105	939	0
Olfr967	933	0
Olfr963	936	0
Olfr304	1002	0
Olfr761	972	0
Olfr119	1116	0
Olfr1500	936	0
Olfr1490	951	0
Olfr1137	933	0
Olfr1152	933	0
Olfr1162	945	0
Olfr1129	945	0
Olfr748	924	0
Olfr1437	1036	0
Olfr1463	933	0
Olfr1465	924	0
Olfr1474	945	0
Olfr597	948	0
Olfr517	945	0
Olfr591	945	0
Olfr675	942	0
Olfr792	936	0
Olfr1505	951	0
Olfr412	939	0
Olfr1029	1061	0
Olfr1425	936	0
Olfr605	1011	0
Olfr169	942	0
Olfr1331	954	0
Olfr685	951	0
Olfr504	957	0
Olfr965	939	0
Olfr1222	936	0
Olfr331	975	0
Olfr699	951	0
Olfr406	972	0
Olfr917	930	0
Olfr624	927	0
Olfr309	927	0
Olfr538	933	0
Olfr1178	972	0
Olfr452	954	0
Olfr1329	942	0
Olfr506	945	0
Olfr1034	1023	0
Xkr9	1926	68
Xkr4	3634	8
Rnase12	545	0
Ang6	714	0
Rnase11	713	0
Trex1	1137	0
Olfr857	930	4
Olfr835	936	0
Olfr1513	942	0
Birc5	3416	1823
Slc39a12	2676	12
Hsd3b3	1826	208
Defa23	418	0
Nsrp1	3116	1889
Slc25a47	1580	5819
Pgbd1	3580	77
Sctr	1922	11
Mup20	886	216
Ecm2	3596	190
Zfp708	2634	177
Zbtb18	5705	3411
Mdk	1403	319
Slc2a9	3865	646
Bpifb1	1712	38
Hacd1	1008	1093
AU022252	1867	683
Hspb6	1853	3231
Hs3st6	1358	20
Ankrd6	5296	145
Cxcl12	7161	4590
Fut10	5095	510
Ehmt1	5107	5929
Klri1	838	6
Rims1	6949	4
Acd	1718	1980
AY761185	486	0
Smim19	1459	1265
Wfdc13	1074	0
Wfdc16	1121	0
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	661
Ear12	471	0
Zfp787	3027	1749
Dhrs7c	1124	327
Lrrn4cl	2600	308
Odf3b	1040	51
Mterf1a	1376	180
Usp13	4686	1376
Tgfbrap1	5719	3151
Ttf2	4541	2298
Tmem263	3778	2302
Ctc1	4167	2293
Npcd	4873	0
Osm	1907	683
Wdr91	2637	1650
Prkaa1	4655	4054
E2f8	3880	1272
Pfdn4	1059	1557
Sesn1	3339	3104
Dtx3l	5181	1508
Nrp	1170	86
Tmprss13	3244	2
Lman2l	2290	1373
Utp18	2613	2526
Rpp38	1027	448
Arhgef39	2402	501
Uspl1	3934	3008
Zfp930	2996	1096
Dync1li2	4633	9935
Rsad1	4151	2031
Lrrc52	1137	2
Podnl1	2080	518
Grm4	5265	10
Rasl10b	4010	204
Zfp182	5944	696
Mrs2	2161	1071
Scn4b	4757	228
Cpsf6	6572	6375
Gm11487	1323	0
Tcaim	3039	683
Nkain2	3745	25
Ccl26	282	1
Neurl4	5267	3035
Ric8b	4962	1910
Olfr112	1672	0
Inip	3216	904
Pard3	8550	6509
Vmo1	672	13
Ercc6l2	6161	2822
Tex24	1767	0
Trim6	3827	478
Ddn	3740	12
Zfp57	3228	3763
Tmem151b	4851	38
Gm597	2882	0
Syna	2918	26
Pcdh17	9509	167
Gm9949	984	38
5730409E04Rik	2855	798
Grhl3	2791	8
Vwde	6597	22
Lingo3	3559	10
Gas2l2	2943	0
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	205
Ces1a	1979	0
Zscan4c	2276	2
Samd3	3554	8
Capn11	2575	18
Rsl1	2045	153
Lipo3	2842	246
Gm973	4375	5
Nxpe5	2312	284
Kpna7	2328	0
Fbxw24	1490	0
Zfp488	4301	0
Tvp23a	3313	134
Aim2	2537	395
Slc25a34	2682	778
Fam71b	2190	0
Ccdc92b	4002	38
Akr1c19	1242	2057
Zscan26	4362	3071
Vmn1r209	939	0
Otulin	1489	2113
Spink6	777	0
Mettl21c	1086	8
Macrod2	5041	123
Flg2	7671	0
Ankrd13c	4317	3953
Gm5591	3441	0
Fam169b	2876	301
Maml2	6139	1766
Amt	2047	572
Gm5622	1581	0
Sp140	2416	313
Slc22a28	2004	0
Krtap4-16	951	2
Gm5662	1842	0
Dupd1	1103	2
Shf	1928	1241
Gpr31b	960	0
Prkg1	7378	232
Dyrk2	2137	2477
Adgrf3	3099	6
Fbxw22	1824	0
Zfp985	2827	21
Trcg1	2701	2
Abi3bp	4742	992
Scn2b	4562	80
4930404N11Rik	695	0
Zmynd12	1505	28
Snx13	6226	4884
Ttll4	8164	3565
Espl1	6684	2286
Wdr7	7108	2257
Fam189b	3240	3653
Cenpj	4363	354
Klrh1	2000	0
Zfyve28	3980	61
Rap1gap2	7238	2595
G2e3	6726	3309
Dcaf1	5697	2907
E130308A19Rik	5481	653
Tyw1	6626	3120
Taf9	1334	3443
Arid3c	1751	16
Gm21943	1206	0
Gm20815	1796	0
Tbata	2023	0
Ear4	467	0
Kdm6b	6820	4835
Rasef	5183	905
Cox17	436	1871
Btbd11	5955	1655
Zscan18	3772	122
Lamp2	6772	22332
Ddi2	3539	2542
Zdhhc18	2847	2630
Foxred2	4891	2300
C2cd3	7812	2142
Dppa4	1534	0
Izumo1	1493	12
Grxcr1	1071	0
Otol1	2161	0
Sp3	4428	7032
Rtl8b	1272	220
Lce3f	620	0
Ldoc1	1340	0
Trim15	1866	348
Kbtbd7	4528	853
Anks6	3980	279
Pla2g4d	3286	0
Gpr139	4776	0
Adamts15	6078	746
Nxf3	2978	2
Fbxo10	5970	735
Pla2g4f	3116	6
Ugt2a2	2536	0
Nufip2	10399	5672
Trappc1	745	1753
Defa24	419	0
Gm5431	2971	36
Crls1	2054	2000
Add1	4516	24762
Bcat1	8102	492
Diras2	4348	196
Cdhr3	2953	17
Dcun1d2	3034	1059
Brd9	2494	2962
Fam149b	3149	1526
Larp4	6747	6011
Shc2	3957	3238
Snx32	1930	496
Cep170b	6640	21739
Ankrd28	5229	7348
Pdp2	5670	776
Cfap299	861	0
Rabl6	3191	7226
Inpp4b	9795	2987
Xirp2	11971	4912
Tsku	2800	3347
Pcnp	2447	3992
Cdkl5	3246	242
Zfp873	2365	266
Carmil3	5308	65
Methig1	1449	1
Ifnl2	582	0
Cpa2	1325	8
Zbtb45	2238	676
C1ql4	717	6
Mctp2	5789	366
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	353
Krtap10-10	1305	0
Gm3696	2222	4
Cma2	1099	0
Triobp	7736	5151
Gal3st3	2422	29
Cyp2c67	1706	245
Hmcn1	18314	883
Ifi214	1294	0
Zfp607a	3511	389
Rps23rg1	1621	21
Cebpz	4077	4434
Adarb1	6706	3755
Gm128	1470	36
Hoxc11	915	0
Zfp62	5001	1788
Apol7b	2227	0
Gm14325	4394	773
Rhox10	760	0
Ankrd34a	2586	32
Timm9	1117	899
Ttbk2	11268	2446
Septin10	5152	3564
N4bp2	5731	1410
Rfx4	4074	2
Bod1	1402	3142
Trp53i13	1366	703
Ddx49	2193	2820
Cyb5d2	2376	346
Pitpnm3	6666	685
Zfp667	3671	72
Rbfox3	4921	30
Pilrb2	1815	808
Qsox1	3361	16421
Zfp563	6382	412
Rc3h1	11011	4840
Pbx4	1427	85
Pik3r1	7363	5422
Lrig2	7174	2564
Ntrk2	14037	275
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	5411
Arl14ep	3666	2208
Cracr2b	1687	1236
Ccdc93	7256	2316
Zfp78	4990	52
Cxadr	6951	14682
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	5763
Trp53i11	3322	1958
Vegfa	4174	25859
H2al1e	494	0
Tpd52	6331	17379
Dffa	2672	1269
Tfap2b	6502	6
Stx3	5097	1662
Pja2	4706	7939
St6galnac6	2695	2163
Dclre1b	4288	850
Tapbp	2750	7788
Defb46	174	0
Gm6040	857	0
Klc1	3180	9241
Rtn2	2102	590
Miip	1813	1873
Serinc4	2534	201
Adcyap1r1	6245	272
Zfp943	2734	756
Wdr61	1331	2643
Orc2	3561	2093
Sema3g	3686	294
Adam39	2441	0
Gpr17	5193	254
Insyn2b	5371	10
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	0
Olfr243	951	0
Eno1b	1758	4565
Sufu	4525	2698
Bclaf1	5454	8142
Src	3887	11678
Depdc5	8446	1876
Hmga1	2046	864
Spag9	7864	13057
Btbd3	5111	3160
Crebbp	7507	4404
BC053393	2043	0
Camk2d	8588	9981
Aptx	5747	935
Sox6	9362	324
Pus1	1887	2630
Lhx9	5750	261
Dmbx1	4032	0
Pde1c	12826	555
Prrx1	7448	2456
Sh2d2a	4758	36
Ankrd12	8991	2519
Slc23a4	2158	40
Bpifb9b	2046	0
Cfhr2	1602	1869
Ccdc141	6329	1395
Maf	3642	2245
Kcnc2	6770	20
Dram2	2722	4893
Kcnj6	6959	0
Nr2c2ap	1193	224
Rfxank	3682	778
Zbtb43	5177	3045
Ikzf1	5664	689
Trim26	3235	3901
Cadm1	4629	5792
Il1rl1	7096	184
Gm527	1463	177
Tmem171	1169	1009
Gm5168	840	0
Szrd1	3297	8088
Ms4a7	1716	364
Snx22	2585	93
Otud7b	8101	7411
Ccdc50	7048	8894
Cant1	3273	5662
Cdc6	5024	443
Dnm1l	4270	7684
Dnajc19	2771	1315
Ensa	2962	7758
Entpd5	5076	4379
Npnt	4800	26968
Pik3cd	5404	1360
Pknox2	3550	110
Sla	3135	2049
Slc16a6	4841	960
Vrk1	4133	1880
Magi1	9853	6249
Psme2	977	3457
Atad5	7272	845
Ugt2b36	1888	2304
Pdzd4	3972	224
Itgad	3964	18
Unc13a	7960	2317
Urb2	6098	2882
Nova2	8372	196
Lonrf2	6884	30
Usf3	12607	3868
Mex3a	6225	2481
Psg26	2058	0
Ate1	5356	2485
Zswim5	5397	96
Zmynd15	2992	444
Gm5796	1815	0
Zfp114	3111	3
Usp32	6924	4321
Trim38	1480	0
Specc1	10856	6347
Sec14l3	3928	152
Rilp	1487	633
Gm4788	2887	1482
Tceal3	1431	22
Safb2	3277	6829
Sec23ip	4577	4276
Man1b1	3742	6518
Fcrlb	1284	323
Kcp	4888	318
Doxl2	2492	0
Fat2	14423	228
Mettl17	1623	1258
Zc3h18	3816	7032
Mcat	1893	1695
Ndufs5	509	886
Rdh8	3354	1
Kcnk15	1032	0
Spry3	4346	2
Prr7	1360	135
Tmprss11c	1615	0
Pmp2	1364	2
Dkc1	2978	3592
Abca17	5348	15
Gm16367	2037	0
Nudt10	1751	34
Gsk3a	2259	2800
Lin28b	5403	2
Mrpl41	2423	1340
Kcnh8	4287	0
Smg1	15553	14530
Agxt2	2286	979
Bglap2	473	0
Pecam1	3333	4058
Pear1	4713	11579
Sybu	4355	94
Klhdc9	1555	6
Ccdc189	2573	112
Acmsd	2303	197
Lrrc14b	2746	140
Rnf17	5147	7
Cd69	1621	36
Gm14288	428	0
Ntrk1	2588	31
Cd27	1576	29
Bbs1	5597	395
Krtdap	462	0
Commd6	875	864
Rnf149	2434	5937
Rmdn3	2252	2655
Spindoc	3618	2286
Sdhaf1	967	726
Ecscr	1244	1079
Rnf166	1875	3346
Dipk2a	3950	2035
1700029J07Rik	2744	199
Ttc9	4778	840
Plekhm2	4163	3221
Dnajb14	1851	1502
Fbxo33	3446	1809
5730507C01Rik	2542	8
Rasl12	3876	333
Zfp597	5630	1133
Tradd	1385	1631
Shcbp1l	2045	20
Ephx3	2423	26
2510002D24Rik	1232	1615
Dnajc25	1827	1173
Selenoh	685	2369
Slc22a23	6287	5316
1700066B19Rik	2504	68
Fam83e	2900	1099
Klrg2	2282	817
Rab11fip2	6080	1806
Usp31	10387	2298
Osbp	4587	7764
Cln6	2142	1193
Slc6a21	1732	2
Krt76	2312	18
Tmem181a	4620	1089
Jrkl	2952	1208
1700057G04Rik	1052	4
Ccdc190	1443	18
Skap1	2190	17
C77080	5659	14732
Naa11	3364	33
Fam8a1	3717	5117
Gtf3c3	4764	2108
Znfx1	7349	3382
AU015228	2982	0
Clca4b	2997	0
Ncbp1	3111	5686
Usp30	2790	2661
Rpusd3	1277	500
Zfp575	2741	2
Pwwp2b	2640	2521
Nlrc5	6945	994
Myzap	2283	4811
Xylb	3978	1851
Pls1	3697	5522
Ezhip	2203	0
Rprml	1072	0
Ttc7b	3508	1166
E330034G19Rik	1587	0
Zfp957	2751	8
Prickle1	4356	1210
Slc45a4	7657	2500
AU021092	1372	188
Mpig6b	2382	2
Pdzd8	7076	5651
Lin7a	6835	204
Pnrc1	1925	6489
Calr4	2527	23
Slc5a10	2263	8
Itga1	5982	3112
Cyp11b1	2398	0
Mcrip1	1694	3127
Tmprss11a	2657	0
Gm9	1663	0
Trim40	2197	38
Vcpkmt	1980	822
Yeats2	7344	4259
Cblb	6322	4680
Csta1	2731	0
Wfdc6a	867	0
Gm382	4070	0
Cln5	2447	1992
Fancd2	5515	877
Hk3	3269	449
Ccdc110	4116	0
Cfap44	6583	6
Gm266	1215	13
Zfp583	2765	36
Lemd1	1252	14
Gpr174	5384	12
Gm732	1661	0
Plekhg1	7414	719
Pak6	4193	1707
Gm136	1303	0
Spata5l1	1321	611
Phactr2	9042	1325
Arfgef3	8216	18
Mcu	2872	6366
Stox1	3475	12
Zfc3h1	6956	5274
Marchf9	1998	502
Agap2	5634	262
Gls2	2489	3040
Gm525	581	0
Qrich2	2162	12
Fam120a	5151	27237
Eif4e1b	2113	0
Slc4a7	7925	3465
Pip4p1	1608	2649
Spata13	7844	5503
5031439G07Rik	7157	6982
Brd1	5137	7249
Gxylt1	6734	3815
Kmt2d	19827	10991
Spryd3	2437	4526
Ilrun	3812	15519
Gm94	748	0
Prdm6	2601	2
Oosp3	807	0
Cryzl2	1632	639
Cdc42bpa	9451	7345
Slc30a10	5835	130
Sbspon	2748	57
Slc9a2	3493	984
Gpr55	2550	95
Usp40	5316	1781
Espnl	5442	11
Uap1l1	1729	6137
Ddx31	3437	1049
Sel1l2	2219	0
Smim26	460	440
Kiz	2166	2076
Zfp217	5843	4494
Gmps	4567	7332
Fhdc1	6073	2263
Ciart	1395	800
Ampd1	2342	54
Elapor1	6151	414
Ndufb6	659	2544
Shb	2744	4390
Themis2	2542	465
Cox18	1334	1082
Vsig10	4054	1485
Fbxl18	2831	1410
Pdap1	2139	8714
Ccdc61	2010	1298
Hipk4	2414	45
Ffar3	1625	0
Cnga4	2480	0
Cog7	2884	2322
Ppfia1	5259	5371
Tmem231	3000	492
Gucy1a2	13723	144
Zbtb16	7782	4112
Pate14	619	0
Dhrsx	1926	2518
Tmem185a	2513	1547
Arhgef9	5527	227
Frmpd4	9714	12
Gas2l3	6748	1663
Tmtc3	6630	2953
Myrfl	3114	0
Syndig1l	2499	0
Serpina3f	2290	156
Abcc4	5895	6436
Ttc38	3751	1942
Rimbp3	5848	18
Mmp25	3655	85
Lrrc30	1759	24
Zfp407	7908	1982
Cdc42bpg	5994	6878
Sec31b	3923	503
Dusp27	4025	399
Lrrc55	5912	346
D430041D05Rik	10402	16
Ralgapa2	9610	4576
Ankub1	1759	2
Bank1	3267	140
Grin3a	7711	58
Klhl21	3895	4799
Iqsec3	7795	30
Zfp568	7183	3769
Ntn5	2216	32
Cntn5	4270	38
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	5
Cdhr2	4127	5432
Mroh5	2350	0
Mucl3	2608	3652
Nlrc4	3838	974
Acvr1c	9049	0
Lrrc36	2498	2
Gm648	1040	0
Cdk15	1605	4
Srarp	905	3
Washc4	5858	4237
Dcp1b	3311	445
Itpripl2	6864	15674
Cacna2d4	5949	34
Zfp865	3958	2685
Tbc1d32	7239	771
Fubp3	3821	6203
Ipcef1	8804	72
Tmem104	4566	1343
Tmem88b	3471	78
Krt26	2600	0
Gfod1	6654	2545
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	246
Gm815	618	0
Rbm44	3851	0
Lgr6	3623	1289
Rnf224	2021	4
Gm826	1097	20
Gm829	1090	0
Shisa3	3754	22
Bsph1	823	0
Ceacam16	1635	210
Dock1	6815	6305
Pate2	2215	9
Thoc2	7619	5718
Gm773	951	0
Fnd3c2	3658	1
Zscan10	2735	10
Grxcr2	1998	0
Lyg2	2564	5
Tmem211	1827	0
Trim75	2504	0
Kdm7a	9553	3294
Nlrp12	4329	944
Heca	3667	2216
Tmem102	1941	0
Gm884	4576	0
Milr1	2474	259
Atxn7l1	6485	2207
Lsmem1	1213	172
Gm906	3152	0
Lrch1	4707	1881
Alg10b	3727	5123
Gm1604b	781	0
Cdkl4	3341	12
Capn13	2614	56
Garem1	4783	2079
Arl14epl	2247	0
Gm960	2262	55
Ap5b1	3142	464
Tmem237	2135	1131
Ifi211	1789	521
Zfp408	3742	1915
Accsl	2687	0
Pdp1	4398	1633
Ccdc27	2084	3
Nom1	3693	4286
Gm1673	552	96
Drc1	2466	118
Lrrc43	2046	4
Tatdn2	3292	6883
Cracr2a	8781	241
Spef1l	1228	34
Zbtb2	3351	1414
Adgrg5	2820	160
Foxr1	1666	0
Cpxcr1	1596	0
Bclaf3	4215	839
Odf3l2	1248	0
Atxn7l3b	3599	7245
Tmed8	7179	1447
Gm1322	1966	0
Fam47e	2445	18
Gm1527	2119	0
Myrf	5597	25288
Iqgap3	5676	3284
Mfsd2b	3125	144
Rnf207	2479	209
Pusl1	1226	938
