Geneid	Length	genome_mapping/Low_6556c3.rep6.RNAseq.mm10.sorted.bam
Adam26b	2405	0
Adam20	2589	2
Zfp36l3	2613	0
Mup21	755	0
Unc13d	3967	1257
Taar5	1014	0
Armcx5	2824	259
Septin11	11141	12848
A3galt2	3390	95
Mief2	2522	730
Brsk2	4667	0
Txnip	2801	16313
Il19	1124	0
Dock11	6665	4262
Nrsn2	1422	0
Slc25a51	4437	7410
Slc38a8	2622	0
Cep44	1399	902
Scgb2b20	520	0
Pde1a	5579	30
Slc10a7	3644	1837
Ficd	3161	351
Kctd14	2557	157
Taar7b	1077	0
Taar6	1038	0
Taar7a	1077	0
Taar8a	1035	0
Taar9	1047	0
Mdc1	7352	3312
Slc10a5	3923	8
Taar7e	1077	0
Ppp1r13l	3130	3599
Taar8b	1035	0
Taar7d	1077	0
Taar7f	1077	0
Taar8c	1109	0
Mrps33	1052	804
Gjb6	2198	2
Gpr12	2760	0
Hrh2	5937	44
Olfr1193	957	0
Olfr94	1161	0
Olfr1148	945	0
Olfr310	1082	0
Olfr913	1275	0
Olfr1418	957	0
Olfr1415	936	0
Olfr503	972	0
Olfr456	1052	2
Olfr1251	957	0
Olfr723	1006	0
Olfr329	1037	0
Olfr1037	1125	0
Olfr688	966	0
Olfr988	930	0
Olfr1182	1178	0
Olfr566	1066	0
Olfr1532-ps1	1148	0
Olfr180	1142	0
Nms	1001	0
Rnase13	614	0
Olfr1000	945	0
Cyp2c66	1630	0
Olfr102	1027	0
Xkr7	2711	2
Olfr288	2083	0
Olfr1116	924	0
Olfr1066	942	0
Olfr205	918	0
Olfr1357	1160	2
Olfr744	972	0
Olfr885	930	0
Olfr225	1260	0
Olfr1386	1128	0
Olfr479	984	0
Olfr324	1122	0
Olfr867	996	0
Olfr704	948	0
Olfr294	1008	0
Olfr298	999	0
Olfr293	1011	0
Olfr115	995	0
Olfr735	1065	0
Olfr671	942	0
Olfr948	966	0
Olfr663	1035	0
Olfr1016	930	0
Olfr1031	1011	0
Olfr314	1131	0
Olfr1229	936	0
Olfr299	993	0
Olfr317	1128	0
Olfr332	1601	0
Olfr1089	936	0
Olfr1287	918	0
Olfr1028	975	0
Olfr1419	1160	0
Olfr527	918	0
Olfr1042	1097	0
Olfr285	960	0
Olfr286	1451	0
Olfr287	1776	0
Olfr543	1130	9
Olfr1039	960	0
Olfr987	930	0
Olfr1307	939	0
Olfr1432	1044	0
Olfr222	957	0
Olfr1382	936	0
Olfr193	1009	0
Olfr207	918	0
Olfr598	960	0
Olfr1322	933	0
Olfr1275	939	0
Olfr1249	957	0
Olfr782	945	0
Olfr884	930	0
Olfr453	954	0
Olfr212	2672	0
Olfr213	984	0
Olfr1318	1110	0
Olfr1306	939	0
Olfr1211	936	0
Olfr1385	930	0
Olfr901	936	0
Olfr191	930	0
Olfr198	921	0
Olfr728	936	0
Olfr485	954	0
Olfr487	945	0
Olfr951	945	0
Olfr93	939	0
Olfr524	957	0
Olfr533	963	0
Olfr1181	936	0
Olfr316	921	0
Olfr312	927	0
Olfr1359	992	0
Olfr804	945	0
Olfr787	939	0
Olfr834	939	0
Olfr832	939	0
Olfr1105	939	0
Olfr967	933	0
Olfr963	936	0
Olfr304	1002	0
Olfr761	972	0
Olfr119	1116	0
Olfr1500	936	0
Olfr1490	951	0
Olfr1137	933	0
Olfr1152	933	0
Olfr1162	945	0
Olfr1129	945	0
Olfr748	924	0
Olfr1437	1036	0
Olfr1463	933	0
Olfr1465	924	0
Olfr1474	945	0
Olfr597	948	0
Olfr517	945	0
Olfr591	945	0
Olfr675	942	0
Olfr792	936	0
Olfr1505	951	0
Olfr412	939	0
Olfr1029	1061	0
Olfr1425	936	0
Olfr605	1011	0
Olfr169	942	0
Olfr1331	954	0
Olfr685	951	0
Olfr504	957	0
Olfr965	939	0
Olfr1222	936	0
Olfr331	975	0
Olfr699	951	0
Olfr406	972	0
Olfr917	930	0
Olfr624	927	0
Olfr309	927	0
Olfr538	933	0
Olfr1178	972	0
Olfr452	954	0
Olfr1329	942	0
Olfr506	945	0
Olfr1034	1023	2
Xkr9	1926	26
Xkr4	3634	14
Rnase12	545	0
Ang6	714	0
Rnase11	713	0
Trex1	1137	0
Olfr857	930	0
Olfr835	936	0
Olfr1513	942	0
Birc5	3416	3161
Slc39a12	2676	26
Hsd3b3	1826	6
Defa23	418	0
Nsrp1	3116	2625
Slc25a47	1580	154
Pgbd1	3580	89
Sctr	1922	4
Mup20	886	4
Ecm2	3596	38
Zfp708	2634	298
Zbtb18	5705	4159
Mdk	1403	43
Slc2a9	3865	145
Bpifb1	1712	0
Hacd1	1008	1197
AU022252	1867	595
Hspb6	1853	547
Hs3st6	1358	2
Ankrd6	5296	37
Cxcl12	7161	716
Fut10	5095	756
Ehmt1	5107	3782
Klri1	838	3
Rims1	6949	0
Acd	1718	1810
AY761185	486	0
Smim19	1459	1343
Wfdc13	1074	0
Wfdc16	1121	0
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	21
Ear12	471	0
Zfp787	3027	1660
Dhrs7c	1124	9
Lrrn4cl	2600	60
Odf3b	1040	1
Mterf1a	1376	220
Usp13	4686	14
Tgfbrap1	5719	1936
Ttf2	4541	2036
Tmem263	3778	2022
Ctc1	4167	2639
Npcd	4873	0
Osm	1907	174
Wdr91	2637	1699
Prkaa1	4655	4788
E2f8	3880	1780
Pfdn4	1059	1747
Sesn1	3339	777
Dtx3l	5181	3440
Nrp	1170	64
Tmprss13	3244	0
Lman2l	2290	3074
Utp18	2613	2488
Rpp38	1027	240
Arhgef39	2402	429
Uspl1	3934	2226
Zfp930	2996	615
Dync1li2	4633	12220
Rsad1	4151	1164
Lrrc52	1137	0
Podnl1	2080	92
Grm4	5265	4
Rasl10b	4010	4
Zfp182	5944	449
Mrs2	2161	747
Scn4b	4757	6
Cpsf6	6572	6312
Gm11487	1323	0
Tcaim	3039	214
Nkain2	3745	8
Ccl26	282	0
Neurl4	5267	4145
Ric8b	4962	1344
Olfr112	1672	0
Inip	3216	1983
Pard3	8550	6836
Vmo1	672	0
Ercc6l2	6161	2577
Tex24	1767	0
Trim6	3827	327
Ddn	3740	6
Zfp57	3228	3345
Tmem151b	4851	88
Gm597	2882	0
Syna	2918	13
Pcdh17	9509	48
Gm9949	984	14
5730409E04Rik	2855	531
Grhl3	2791	2
Vwde	6597	8
Lingo3	3559	4
Gas2l2	2943	1
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	2
Ces1a	1979	8
Zscan4c	2276	0
Samd3	3554	0
Capn11	2575	0
Rsl1	2045	452
Lipo3	2842	92
Gm973	4375	0
Nxpe5	2312	191
Kpna7	2328	0
Fbxw24	1490	0
Zfp488	4301	0
Tvp23a	3313	66
Aim2	2537	116
Slc25a34	2682	18
Fam71b	2190	0
Ccdc92b	4002	46
Akr1c19	1242	404
Zscan26	4362	2141
Vmn1r209	939	0
Otulin	1489	1709
Spink6	777	0
Mettl21c	1086	2
Macrod2	5041	160
Flg2	7671	0
Ankrd13c	4317	5544
Gm5591	3441	0
Fam169b	2876	10
Maml2	6139	2812
Amt	2047	282
Gm5622	1581	0
Sp140	2416	282
Slc22a28	2004	0
Krtap4-16	951	2
Gm5662	1842	2
Dupd1	1103	0
Shf	1928	1601
Gpr31b	960	0
Prkg1	7378	13
Dyrk2	2137	1903
Adgrf3	3099	0
Fbxw22	1824	0
Zfp985	2827	0
Trcg1	2701	17
Abi3bp	4742	162
Scn2b	4562	6
4930404N11Rik	695	0
Zmynd12	1505	6
Snx13	6226	3801
Ttll4	8164	4319
Espl1	6684	2410
Wdr7	7108	1722
Fam189b	3240	319
Cenpj	4363	810
Klrh1	2000	0
Zfyve28	3980	9
Rap1gap2	7238	5035
G2e3	6726	2727
Dcaf1	5697	3532
E130308A19Rik	5481	963
Tyw1	6626	2077
Taf9	1334	3007
Arid3c	1751	1
Gm21943	1206	0
Gm20815	1796	0
Tbata	2023	1
Ear4	467	0
Kdm6b	6820	7064
Rasef	5183	3674
Cox17	436	2216
Btbd11	5955	2106
Zscan18	3772	23
Lamp2	6772	16598
Ddi2	3539	1289
Zdhhc18	2847	2894
Foxred2	4891	365
C2cd3	7812	3120
Dppa4	1534	0
Izumo1	1493	0
Grxcr1	1071	0
Otol1	2161	0
Sp3	4428	5704
Rtl8b	1272	104
Lce3f	620	0
Ldoc1	1340	0
Trim15	1866	95
Kbtbd7	4528	503
Anks6	3980	303
Pla2g4d	3286	0
Gpr139	4776	0
Adamts15	6078	82
Nxf3	2978	0
Fbxo10	5970	826
Pla2g4f	3116	5
Ugt2a2	2536	0
Nufip2	10399	5252
Trappc1	745	1423
Defa24	419	0
Gm5431	2971	29
Crls1	2054	2116
Add1	4516	23145
Bcat1	8102	1024
Diras2	4348	300
Cdhr3	2953	0
Dcun1d2	3034	997
Brd9	2494	3227
Fam149b	3149	2091
Larp4	6747	7424
Shc2	3957	3982
Snx32	1930	283
Cep170b	6640	21215
Ankrd28	5229	9724
Pdp2	5670	809
Cfap299	861	0
Rabl6	3191	4462
Inpp4b	9795	6046
Xirp2	11971	0
Tsku	2800	775
Pcnp	2447	5193
Cdkl5	3246	143
Zfp873	2365	262
Carmil3	5308	55
Methig1	1449	0
Ifnl2	582	0
Cpa2	1325	8
Zbtb45	2238	746
C1ql4	717	0
Mctp2	5789	44
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	29
Krtap10-10	1305	0
Gm3696	2222	0
Cma2	1099	2
Triobp	7736	6573
Gal3st3	2422	3
Cyp2c67	1706	0
Hmcn1	18314	28
Ifi214	1294	0
Zfp607a	3511	297
Rps23rg1	1621	80
Cebpz	4077	5568
Adarb1	6706	2881
Gm128	1470	12
Hoxc11	915	0
Zfp62	5001	2095
Apol7b	2227	0
Gm14325	4394	663
Rhox10	760	0
Ankrd34a	2586	20
Timm9	1117	1111
Ttbk2	11268	1375
Septin10	5152	3348
N4bp2	5731	1648
Rfx4	4074	0
Bod1	1402	3324
Trp53i13	1366	689
Ddx49	2193	2320
Cyb5d2	2376	247
Pitpnm3	6666	642
Zfp667	3671	28
Rbfox3	4921	0
Pilrb2	1815	543
Qsox1	3361	17228
Zfp563	6382	276
Rc3h1	11011	6579
Pbx4	1427	22
Pik3r1	7363	2803
Lrig2	7174	1933
Ntrk2	14037	8
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	5749
Arl14ep	3666	1713
Cracr2b	1687	1328
Ccdc93	7256	2886
Zfp78	4990	41
Cxadr	6951	27147
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	5646
Trp53i11	3322	1363
Vegfa	4174	25837
H2al1e	494	0
Tpd52	6331	26220
Dffa	2672	1125
Tfap2b	6502	0
Stx3	5097	603
Pja2	4706	4845
St6galnac6	2695	640
Dclre1b	4288	701
Tapbp	2750	8720
Defb46	174	0
Gm6040	857	0
Klc1	3180	9146
Rtn2	2102	182
Miip	1813	1070
Serinc4	2534	92
Adcyap1r1	6245	62
Zfp943	2734	726
Wdr61	1331	3204
Orc2	3561	2308
Sema3g	3686	12
Adam39	2441	0
Gpr17	5193	18
Insyn2b	5371	2
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	0
Olfr243	951	0
Eno1b	1758	619
Sufu	4525	3978
Bclaf1	5454	10313
Src	3887	10510
Depdc5	8446	1525
Hmga1	2046	569
Spag9	7864	10655
Btbd3	5111	2581
Crebbp	7507	4502
BC053393	2043	0
Camk2d	8588	13432
Aptx	5747	806
Sox6	9362	4
Pus1	1887	2825
Lhx9	5750	324
Dmbx1	4032	4
Pde1c	12826	0
Prrx1	7448	952
Sh2d2a	4758	8
Ankrd12	8991	2801
Slc23a4	2158	131
Bpifb9b	2046	0
Cfhr2	1602	8
Ccdc141	6329	820
Maf	3642	1070
Kcnc2	6770	0
Dram2	2722	6572
Kcnj6	6959	0
Nr2c2ap	1193	245
Rfxank	3682	612
Zbtb43	5177	1546
Ikzf1	5664	144
Trim26	3235	3317
Cadm1	4629	9858
Il1rl1	7096	53
Gm527	1463	184
Tmem171	1169	1477
Gm5168	840	0
Szrd1	3297	10032
Ms4a7	1716	191
Snx22	2585	69
Otud7b	8101	10369
Ccdc50	7048	10578
Cant1	3273	10810
Cdc6	5024	1799
Dnm1l	4270	6613
Dnajc19	2771	1795
Ensa	2962	6671
Entpd5	5076	2266
Npnt	4800	51986
Pik3cd	5404	498
Pknox2	3550	14
Sla	3135	180
Slc16a6	4841	1049
Vrk1	4133	3023
Magi1	9853	9447
Psme2	977	5576
Atad5	7272	1345
Ugt2b36	1888	10
Pdzd4	3972	138
Itgad	3964	0
Unc13a	7960	896
Urb2	6098	2497
Nova2	8372	174
Lonrf2	6884	0
Usf3	12607	2607
Mex3a	6225	8931
Psg26	2058	0
Ate1	5356	1870
Zswim5	5397	32
Zmynd15	2992	1412
Gm5796	1815	2
Zfp114	3111	19
Usp32	6924	3286
Trim38	1480	0
Specc1	10856	9019
Sec14l3	3928	0
Rilp	1487	171
Gm4788	2887	2
Tceal3	1431	0
Safb2	3277	6847
Sec23ip	4577	4187
Man1b1	3742	6103
Fcrlb	1284	63
Kcp	4888	26
Doxl2	2492	0
Fat2	14423	106
Mettl17	1623	994
Zc3h18	3816	7801
Mcat	1893	1448
Ndufs5	509	922
Rdh8	3354	0
Kcnk15	1032	0
Spry3	4346	0
Prr7	1360	90
Tmprss11c	1615	0
Pmp2	1364	0
Dkc1	2978	5306
Abca17	5348	3
Gm16367	2037	0
Nudt10	1751	0
Gsk3a	2259	3257
Lin28b	5403	0
Mrpl41	2423	972
Kcnh8	4287	0
Smg1	15553	10768
Agxt2	2286	0
Bglap2	473	0
Pecam1	3333	398
Pear1	4713	16519
Sybu	4355	2
Klhdc9	1555	5
Ccdc189	2573	59
Acmsd	2303	24
Lrrc14b	2746	127
Rnf17	5147	0
Cd69	1621	21
Gm14288	428	0
Ntrk1	2588	2
Cd27	1576	12
Bbs1	5597	548
Krtdap	462	0
Commd6	875	1449
Rnf149	2434	3338
Rmdn3	2252	2739
Spindoc	3618	2002
Sdhaf1	967	451
Ecscr	1244	1954
Rnf166	1875	1775
Dipk2a	3950	1334
1700029J07Rik	2744	50
Ttc9	4778	2845
Plekhm2	4163	1911
Dnajb14	1851	1602
Fbxo33	3446	1470
5730507C01Rik	2542	26
Rasl12	3876	72
Zfp597	5630	1019
Tradd	1385	2456
Shcbp1l	2045	6
Ephx3	2423	7
2510002D24Rik	1232	1479
Dnajc25	1827	1256
Selenoh	685	4071
Slc22a23	6287	5454
1700066B19Rik	2504	336
Fam83e	2900	527
Klrg2	2282	452
Rab11fip2	6080	1314
Usp31	10387	2067
Osbp	4587	6216
Cln6	2142	860
Slc6a21	1732	0
Krt76	2312	7
Tmem181a	4620	2454
Jrkl	2952	1094
1700057G04Rik	1052	0
Ccdc190	1443	22
Skap1	2190	12
C77080	5659	12372
Naa11	3364	47
Fam8a1	3717	6381
Gtf3c3	4764	2306
Znfx1	7349	2305
AU015228	2982	0
Clca4b	2997	0
Ncbp1	3111	5940
Usp30	2790	1689
Rpusd3	1277	177
Zfp575	2741	2
Pwwp2b	2640	1585
Nlrc5	6945	904
Myzap	2283	3266
Xylb	3978	1088
Pls1	3697	5553
Ezhip	2203	0
Rprml	1072	0
Ttc7b	3508	312
E330034G19Rik	1587	0
Zfp957	2751	4
Prickle1	4356	85
Slc45a4	7657	2749
AU021092	1372	672
Mpig6b	2382	3
Pdzd8	7076	5459
Lin7a	6835	6
Pnrc1	1925	9522
Calr4	2527	4
Slc5a10	2263	1
Itga1	5982	6131
Cyp11b1	2398	0
Mcrip1	1694	2585
Tmprss11a	2657	2
Gm9	1663	0
Trim40	2197	8
Vcpkmt	1980	1553
Yeats2	7344	3763
Cblb	6322	2120
Csta1	2731	0
Wfdc6a	867	0
Gm382	4070	0
Cln5	2447	1786
Fancd2	5515	1005
Hk3	3269	191
Ccdc110	4116	0
Cfap44	6583	0
Gm266	1215	8
Zfp583	2765	2
Lemd1	1252	4
Gpr174	5384	0
Gm732	1661	0
Plekhg1	7414	37
Pak6	4193	1057
Gm136	1303	0
Spata5l1	1321	627
Phactr2	9042	279
Arfgef3	8216	190
Mcu	2872	4515
Stox1	3475	6
Zfc3h1	6956	5225
Marchf9	1998	286
Agap2	5634	78
Gls2	2489	541
Gm525	581	0
Qrich2	2162	12
Fam120a	5151	34526
Eif4e1b	2113	2
Slc4a7	7925	5857
Pip4p1	1608	1731
Spata13	7844	11172
5031439G07Rik	7157	11526
Brd1	5137	9867
Gxylt1	6734	4206
Kmt2d	19827	17037
Spryd3	2437	3822
Ilrun	3812	10378
Gm94	748	0
Prdm6	2601	2
Oosp3	807	0
Cryzl2	1632	135
Cdc42bpa	9451	5964
Slc30a10	5835	0
Sbspon	2748	21
Slc9a2	3493	3197
Gpr55	2550	52
Usp40	5316	3124
Espnl	5442	10
Uap1l1	1729	2090
Ddx31	3437	721
Sel1l2	2219	0
Smim26	460	248
Kiz	2166	1674
Zfp217	5843	4333
Gmps	4567	8544
Fhdc1	6073	653
Ciart	1395	248
Ampd1	2342	10
Elapor1	6151	76
Ndufb6	659	3502
Shb	2744	5135
Themis2	2542	141
Cox18	1334	380
Vsig10	4054	1947
Fbxl18	2831	691
Pdap1	2139	10684
Ccdc61	2010	2027
Hipk4	2414	59
Ffar3	1625	0
Cnga4	2480	7
Cog7	2884	1933
Ppfia1	5259	4177
Tmem231	3000	298
Gucy1a2	13723	34
Zbtb16	7782	24
Pate14	619	2
Dhrsx	1926	1966
Tmem185a	2513	1358
Arhgef9	5527	46
Frmpd4	9714	0
Gas2l3	6748	596
Tmtc3	6630	2835
Myrfl	3114	2
Syndig1l	2499	0
Serpina3f	2290	6
Abcc4	5895	7144
Ttc38	3751	814
Rimbp3	5848	20
Mmp25	3655	45
Lrrc30	1759	0
Zfp407	7908	2132
Cdc42bpg	5994	2969
Sec31b	3923	84
Dusp27	4025	29
Lrrc55	5912	42
D430041D05Rik	10402	0
Ralgapa2	9610	8109
Ankub1	1759	0
Bank1	3267	18
Grin3a	7711	22
Klhl21	3895	3612
Iqsec3	7795	0
Zfp568	7183	2356
Ntn5	2216	5
Cntn5	4270	0
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	2
Cdhr2	4127	97
Mroh5	2350	0
Mucl3	2608	336
Nlrc4	3838	1588
Acvr1c	9049	2
Lrrc36	2498	0
Gm648	1040	2
Cdk15	1605	0
Srarp	905	1
Washc4	5858	3081
Dcp1b	3311	589
Itpripl2	6864	22231
Cacna2d4	5949	4
Zfp865	3958	2334
Tbc1d32	7239	816
Fubp3	3821	5559
Ipcef1	8804	31
Tmem104	4566	987
Tmem88b	3471	22
Krt26	2600	0
Gfod1	6654	2552
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	79
Gm815	618	0
Rbm44	3851	3
Lgr6	3623	1432
Rnf224	2021	0
Gm826	1097	0
Gm829	1090	0
Shisa3	3754	2
Bsph1	823	0
Ceacam16	1635	166
Dock1	6815	6744
Pate2	2215	14
Thoc2	7619	5448
Gm773	951	0
Fnd3c2	3658	1
Zscan10	2735	0
Grxcr2	1998	0
Lyg2	2564	0
Tmem211	1827	0
Trim75	2504	0
Kdm7a	9553	3028
Nlrp12	4329	24
Heca	3667	1797
Tmem102	1941	1
Gm884	4576	0
Milr1	2474	47
Atxn7l1	6485	1172
Lsmem1	1213	8
Gm906	3152	0
Lrch1	4707	2611
Alg10b	3727	6427
Gm1604b	781	1
Cdkl4	3341	6
Capn13	2614	60
Garem1	4783	1102
Arl14epl	2247	0
Gm960	2262	59
Ap5b1	3142	384
Tmem237	2135	2091
Ifi211	1789	1547
Zfp408	3742	1395
Accsl	2687	0
Pdp1	4398	1785
Ccdc27	2084	2
Nom1	3693	2898
Gm1673	552	25
Drc1	2466	138
Lrrc43	2046	0
Tatdn2	3292	5624
Cracr2a	8781	147
Spef1l	1228	79
Zbtb2	3351	1072
Adgrg5	2820	35
Foxr1	1666	0
Cpxcr1	1596	0
Bclaf3	4215	1010
Odf3l2	1248	2
Atxn7l3b	3599	6592
Tmed8	7179	1029
Gm1322	1966	0
Fam47e	2445	0
Gm1527	2119	0
Myrf	5597	31963
Iqgap3	5676	3821
Mfsd2b	3125	65
Rnf207	2479	16
Pusl1	1226	812
Mageb4	2401	0
Adgrf2	3283	13
Zfp213	2674	666
Gramd2	4156	189
