Geneid	Length	genome_mapping/High_6499c4.rep2.RNAseq.mm10.sorted.bam
Olfr566	1066	0
Olfr1532-ps1	1148	0
Olfr180	1142	0
Nms	1001	0
Rnase13	614	0
Olfr1000	945	0
Cyp2c66	1630	0
Olfr102	1027	0
Xkr7	2711	0
Olfr288	2083	0
Olfr1116	924	0
Olfr1066	942	0
Olfr205	918	0
Olfr1357	1160	0
Olfr744	972	0
Olfr885	930	0
Olfr225	1260	0
Olfr1386	1128	0
Olfr479	984	0
Olfr324	1122	0
Olfr867	996	0
Olfr704	948	0
Olfr294	1008	0
Olfr298	999	0
Olfr293	1011	0
Olfr115	995	0
Olfr735	1065	0
Olfr671	942	0
Olfr948	966	0
Olfr663	1035	0
Olfr1016	930	0
Olfr1031	1011	0
Olfr314	1131	0
Olfr1229	936	0
Olfr299	993	0
Olfr317	1128	0
Olfr332	1601	0
Olfr1089	936	0
Olfr1287	918	0
Olfr1028	975	0
Olfr1419	1160	0
Olfr527	918	0
Olfr1042	1097	0
Olfr285	960	0
Olfr286	1451	0
Olfr287	1776	0
Olfr543	1130	4
Olfr1039	960	0
Olfr987	930	0
Olfr1307	939	0
Olfr1432	1044	0
Olfr222	957	0
Olfr1382	936	0
Olfr193	1009	0
Olfr207	918	0
Olfr598	960	0
Olfr1322	933	0
Olfr1275	939	0
Olfr1249	957	0
Olfr782	945	0
Olfr884	930	0
Olfr453	954	0
Olfr212	2672	0
Olfr213	984	0
Olfr1318	1110	0
Olfr1306	939	0
Olfr1211	936	0
Olfr1385	930	0
Olfr901	936	0
Olfr191	930	0
Olfr198	921	0
Olfr728	936	0
Olfr485	954	0
Olfr487	945	0
Olfr951	945	0
Olfr93	939	0
Olfr524	957	0
Olfr533	963	0
Olfr1181	936	0
Olfr316	921	0
Olfr312	927	0
Olfr1359	992	0
Olfr804	945	0
Olfr787	939	0
Olfr834	939	0
Olfr832	939	0
Olfr1105	939	0
Olfr967	933	0
Olfr963	936	0
Olfr304	1002	0
Olfr761	972	0
Olfr119	1116	0
Olfr1500	936	0
Olfr1490	951	0
Olfr1137	933	0
Olfr1152	933	0
Olfr1162	945	0
Olfr1129	945	0
Olfr748	924	0
Olfr1437	1036	0
Olfr1463	933	0
Olfr1465	924	0
Olfr1474	945	0
Olfr597	948	0
Olfr517	945	0
Olfr591	945	0
Olfr675	942	0
Olfr792	936	0
Olfr1505	951	0
Olfr412	939	0
Olfr1029	1061	0
Olfr1425	936	0
Olfr605	1011	0
Olfr169	942	0
Olfr1331	954	0
Olfr685	951	0
Olfr504	957	0
Olfr965	939	0
Olfr1222	936	0
Olfr331	975	0
Olfr699	951	0
Olfr406	972	0
Olfr917	930	0
Olfr624	927	0
Olfr309	927	0
Olfr538	933	0
Olfr1178	972	0
Olfr452	954	0
Olfr1329	942	0
Olfr506	945	0
Olfr1034	1023	0
Xkr9	1926	46
Xkr4	3634	0
Rnase12	545	0
Ang6	714	0
Rnase11	713	0
Trex1	1137	0
Olfr857	930	0
Olfr835	936	0
Olfr1513	942	0
Birc5	3416	1520
Slc39a12	2676	14
Hsd3b3	1826	247
Defa23	418	0
Nsrp1	3116	1355
Slc25a47	1580	5182
Pgbd1	3580	62
Sctr	1922	18
Mup20	886	142
Ecm2	3596	133
Zfp708	2634	89
Zbtb18	5705	2615
Mdk	1403	287
Slc2a9	3865	499
Bpifb1	1712	2
Hacd1	1008	822
AU022252	1867	564
Hspb6	1853	2628
Hs3st6	1358	14
Ankrd6	5296	94
Cxcl12	7161	3552
Fut10	5095	320
Ehmt1	5107	4377
Klri1	838	1
Rims1	6949	0
Acd	1718	1487
AY761185	486	0
Smim19	1459	1143
Wfdc13	1074	0
Wfdc16	1121	6
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	434
Ear12	471	0
Zfp787	3027	1155
Dhrs7c	1124	182
Lrrn4cl	2600	252
Odf3b	1040	47
Mterf1a	1376	112
Usp13	4686	1074
Tgfbrap1	5719	2450
Ttf2	4541	1518
Tmem263	3778	1874
Ctc1	4167	1955
Npcd	4873	0
Osm	1907	896
Wdr91	2637	1216
Prkaa1	4655	2473
E2f8	3880	882
Pfdn4	1059	1170
Sesn1	3339	2472
Dtx3l	5181	1156
Nrp	1170	77
Tmprss13	3244	6
Lman2l	2290	882
Utp18	2613	2032
Rpp38	1027	375
Arhgef39	2402	387
Uspl1	3934	2330
Zfp930	2996	823
Dync1li2	4633	7016
Rsad1	4151	1496
Lrrc52	1137	0
Podnl1	2080	387
Grm4	5265	4
Rasl10b	4010	180
Zfp182	5944	659
Mrs2	2161	836
Scn4b	4757	125
Cpsf6	6572	4936
Gm11487	1323	0
Tcaim	3039	619
Nkain2	3745	14
Ccl26	282	0
Neurl4	5267	2622
Ric8b	4962	1329
Olfr112	1672	0
Inip	3216	778
Pard3	8550	5099
Vmo1	672	8
Ercc6l2	6161	2099
Tex24	1767	0
Trim6	3827	318
Ddn	3740	4
Zfp57	3228	3173
Tmem151b	4851	46
Gm597	2882	0
Syna	2918	15
Pcdh17	9509	91
Gm9949	984	27
5730409E04Rik	2855	656
Grhl3	2791	16
Vwde	6597	6
Lingo3	3559	16
Gas2l2	2943	0
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	213
Ces1a	1979	12
Zscan4c	2276	0
Samd3	3554	0
Capn11	2575	0
Rsl1	2045	174
Lipo3	2842	182
Gm973	4375	4
Nxpe5	2312	284
Kpna7	2328	0
Fbxw24	1490	0
Zfp488	4301	0
Tvp23a	3313	105
Aim2	2537	386
Slc25a34	2682	682
Fam71b	2190	0
Ccdc92b	4002	22
Akr1c19	1242	1771
Zscan26	4362	2229
Vmn1r209	939	0
Otulin	1489	1362
Spink6	777	0
Mettl21c	1086	0
Macrod2	5041	71
Flg2	7671	0
Ankrd13c	4317	3110
Gm5591	3441	0
Fam169b	2876	203
Maml2	6139	1376
Amt	2047	499
Gm5622	1581	0
Sp140	2416	238
Slc22a28	2004	0
Krtap4-16	951	8
Gm5662	1842	0
Dupd1	1103	6
Shf	1928	892
Gpr31b	960	1
Prkg1	7378	197
Dyrk2	2137	2002
Adgrf3	3099	0
Fbxw22	1824	0
Zfp985	2827	6
Trcg1	2701	2
Abi3bp	4742	775
Scn2b	4562	38
4930404N11Rik	695	0
Zmynd12	1505	32
Snx13	6226	3846
Ttll4	8164	2658
Espl1	6684	1870
Wdr7	7108	1764
Fam189b	3240	2819
Cenpj	4363	230
Klrh1	2000	0
Zfyve28	3980	60
Rap1gap2	7238	2185
G2e3	6726	2239
Dcaf1	5697	2274
E130308A19Rik	5481	505
Tyw1	6626	2398
Taf9	1334	2734
Arid3c	1751	22
Gm21943	1206	0
Gm20815	1796	0
Tbata	2023	0
Ear4	467	0
Kdm6b	6820	3493
Rasef	5183	685
Cox17	436	1601
Btbd11	5955	1206
Zscan18	3772	79
Lamp2	6772	16721
Ddi2	3539	2158
Zdhhc18	2847	1862
Foxred2	4891	1694
C2cd3	7812	1549
Dppa4	1534	0
Izumo1	1493	0
Grxcr1	1071	0
Otol1	2161	0
Sp3	4428	5296
Rtl8b	1272	261
Lce3f	620	0
Ldoc1	1340	0
Trim15	1866	266
Kbtbd7	4528	518
Anks6	3980	276
Pla2g4d	3286	0
Gpr139	4776	0
Adamts15	6078	624
Nxf3	2978	0
Fbxo10	5970	557
Pla2g4f	3116	0
Ugt2a2	2536	0
Nufip2	10399	4381
Trappc1	745	1393
Defa24	419	0
Gm5431	2971	76
Crls1	2054	1452
Add1	4516	18396
Bcat1	8102	384
Diras2	4348	164
Cdhr3	2953	15
Dcun1d2	3034	845
Brd9	2494	2188
Fam149b	3149	1239
Larp4	6747	4793
Shc2	3957	2654
Snx32	1930	328
Cep170b	6640	17568
Ankrd28	5229	5309
Pdp2	5670	760
Cfap299	861	0
Rabl6	3191	5356
Inpp4b	9795	2199
Xirp2	11971	3671
Tsku	2800	2847
Pcnp	2447	2743
Cdkl5	3246	229
Zfp873	2365	199
Carmil3	5308	22
Methig1	1449	0
Ifnl2	582	0
Cpa2	1325	14
Zbtb45	2238	556
C1ql4	717	6
Mctp2	5789	304
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	218
Krtap10-10	1305	0
Gm3696	2222	0
Cma2	1099	0
Triobp	7736	3979
Gal3st3	2422	14
Cyp2c67	1706	234
Hmcn1	18314	718
Ifi214	1294	1
Zfp607a	3511	270
Rps23rg1	1621	19
Cebpz	4077	3227
Adarb1	6706	3197
Gm128	1470	16
Hoxc11	915	0
Zfp62	5001	1196
Apol7b	2227	4
Gm14325	4394	582
Rhox10	760	0
Ankrd34a	2586	22
Timm9	1117	670
Ttbk2	11268	1926
Septin10	5152	2481
N4bp2	5731	1107
Rfx4	4074	8
Bod1	1402	2396
Trp53i13	1366	501
Ddx49	2193	2095
Cyb5d2	2376	359
Pitpnm3	6666	427
Zfp667	3671	108
Rbfox3	4921	30
Pilrb2	1815	692
Qsox1	3361	14039
Zfp563	6382	324
Rc3h1	11011	3538
Pbx4	1427	122
Pik3r1	7363	4113
Lrig2	7174	2122
Ntrk2	14037	178
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	4419
Arl14ep	3666	1618
Cracr2b	1687	995
Ccdc93	7256	1925
Zfp78	4990	70
Cxadr	6951	11281
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	4878
Trp53i11	3322	1778
Vegfa	4174	20662
H2al1e	494	0
Tpd52	6331	13644
Dffa	2672	914
Tfap2b	6502	0
Stx3	5097	1365
Pja2	4706	6178
St6galnac6	2695	1660
Dclre1b	4288	632
Tapbp	2750	6506
Defb46	174	0
Gm6040	857	0
Klc1	3180	7168
Rtn2	2102	422
Miip	1813	1564
Serinc4	2534	148
Adcyap1r1	6245	203
Zfp943	2734	535
Wdr61	1331	2026
Orc2	3561	1588
Sema3g	3686	327
Adam39	2441	0
Gpr17	5193	277
Insyn2b	5371	0
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	0
Olfr243	951	0
Eno1b	1758	3773
Sufu	4525	2148
Bclaf1	5454	6007
Src	3887	9519
Depdc5	8446	1522
Hmga1	2046	740
Spag9	7864	10239
Btbd3	5111	2688
Crebbp	7507	3484
BC053393	2043	0
Camk2d	8588	7986
Aptx	5747	688
Sox6	9362	244
Pus1	1887	1977
Lhx9	5750	118
Dmbx1	4032	0
Pde1c	12826	470
Prrx1	7448	1833
Sh2d2a	4758	34
Ankrd12	8991	1984
Slc23a4	2158	23
Bpifb9b	2046	0
Cfhr2	1602	1406
Ccdc141	6329	986
Maf	3642	1840
Kcnc2	6770	34
Dram2	2722	3627
Kcnj6	6959	0
Nr2c2ap	1193	145
Rfxank	3682	605
Zbtb43	5177	2256
Ikzf1	5664	596
Trim26	3235	3347
Cadm1	4629	4597
Il1rl1	7096	178
Gm527	1463	110
Tmem171	1169	879
Gm5168	840	0
Szrd1	3297	6470
Ms4a7	1716	234
Snx22	2585	99
Otud7b	8101	6151
Ccdc50	7048	6824
Cant1	3273	4452
Cdc6	5024	347
Dnm1l	4270	5806
Dnajc19	2771	1047
Ensa	2962	5790
Entpd5	5076	3699
Npnt	4800	20846
Pik3cd	5404	1105
Pknox2	3550	124
Sla	3135	1373
Slc16a6	4841	861
Vrk1	4133	1631
Magi1	9853	4441
Psme2	977	2969
Atad5	7272	689
Ugt2b36	1888	1903
Pdzd4	3972	130
Itgad	3964	35
Unc13a	7960	1706
Urb2	6098	2132
Nova2	8372	134
Lonrf2	6884	20
Usf3	12607	3016
Mex3a	6225	1777
Psg26	2058	0
Ate1	5356	2053
Zswim5	5397	60
Zmynd15	2992	322
Gm5796	1815	2
Zfp114	3111	0
Usp32	6924	3093
Trim38	1480	0
Specc1	10856	5086
Sec14l3	3928	52
Rilp	1487	567
Gm4788	2887	1158
Tceal3	1431	6
Safb2	3277	5316
Sec23ip	4577	3416
Man1b1	3742	4860
Fcrlb	1284	139
Kcp	4888	175
Doxl2	2492	0
Fat2	14423	182
Mettl17	1623	1070
Zc3h18	3816	5531
Mcat	1893	1305
Ndufs5	509	849
Rdh8	3354	4
Kcnk15	1032	0
Spry3	4346	14
Prr7	1360	110
Tmprss11c	1615	0
Pmp2	1364	0
Dkc1	2978	2971
Abca17	5348	7
Gm16367	2037	0
Nudt10	1751	22
Gsk3a	2259	2096
Lin28b	5403	16
Mrpl41	2423	1009
Kcnh8	4287	0
Smg1	15553	11407
Agxt2	2286	668
Bglap2	473	0
Pecam1	3333	3241
Pear1	4713	8723
Sybu	4355	86
Klhdc9	1555	2
Ccdc189	2573	70
Acmsd	2303	112
Lrrc14b	2746	109
Rnf17	5147	2
Cd69	1621	40
Gm14288	428	0
Ntrk1	2588	16
Cd27	1576	24
Bbs1	5597	310
Krtdap	462	0
Commd6	875	651
Rnf149	2434	4617
Rmdn3	2252	2156
Spindoc	3618	1985
Sdhaf1	967	676
Ecscr	1244	816
Rnf166	1875	2706
Dipk2a	3950	1469
1700029J07Rik	2744	153
Ttc9	4778	662
Plekhm2	4163	2882
Dnajb14	1851	1156
Fbxo33	3446	1203
5730507C01Rik	2542	5
Rasl12	3876	232
Zfp597	5630	919
Tradd	1385	1269
Shcbp1l	2045	11
Ephx3	2423	6
2510002D24Rik	1232	1308
Dnajc25	1827	877
Selenoh	685	1856
Slc22a23	6287	4385
1700066B19Rik	2504	89
Fam83e	2900	993
Klrg2	2282	738
Rab11fip2	6080	1276
Usp31	10387	1693
Osbp	4587	5977
Cln6	2142	930
Slc6a21	1732	4
Krt76	2312	10
Tmem181a	4620	803
Jrkl	2952	692
1700057G04Rik	1052	0
Ccdc190	1443	0
Skap1	2190	28
C77080	5659	12242
Naa11	3364	17
Fam8a1	3717	3732
Gtf3c3	4764	1470
Znfx1	7349	2600
AU015228	2982	0
Clca4b	2997	0
Ncbp1	3111	4126
Usp30	2790	2245
Rpusd3	1277	395
Zfp575	2741	6
Pwwp2b	2640	1822
Nlrc5	6945	811
Myzap	2283	3905
Xylb	3978	1582
Pls1	3697	4282
Ezhip	2203	0
Rprml	1072	8
Ttc7b	3508	1106
E330034G19Rik	1587	0
Zfp957	2751	0
Prickle1	4356	984
Slc45a4	7657	1731
AU021092	1372	158
Mpig6b	2382	10
Pdzd8	7076	3857
Lin7a	6835	258
Pnrc1	1925	5036
Calr4	2527	20
Slc5a10	2263	2
Itga1	5982	2188
Cyp11b1	2398	0
Mcrip1	1694	2416
Tmprss11a	2657	0
Gm9	1663	0
Trim40	2197	37
Vcpkmt	1980	619
Yeats2	7344	2976
Cblb	6322	3651
Csta1	2731	2
Wfdc6a	867	0
Gm382	4070	0
Cln5	2447	1752
Fancd2	5515	589
Hk3	3269	414
Ccdc110	4116	10
Cfap44	6583	0
Gm266	1215	8
Zfp583	2765	22
Lemd1	1252	18
Gpr174	5384	2
Gm732	1661	0
Plekhg1	7414	540
Pak6	4193	1484
Gm136	1303	0
Spata5l1	1321	404
Phactr2	9042	944
Arfgef3	8216	14
Mcu	2872	5224
Stox1	3475	10
Zfc3h1	6956	3815
Marchf9	1998	320
Agap2	5634	251
Gls2	2489	2503
Gm525	581	0
Qrich2	2162	4
Fam120a	5151	21635
Eif4e1b	2113	0
Slc4a7	7925	2787
Pip4p1	1608	2253
Spata13	7844	4583
5031439G07Rik	7157	5677
Brd1	5137	5654
Gxylt1	6734	2515
Kmt2d	19827	8651
Spryd3	2437	3598
Ilrun	3812	12065
Gm94	748	0
Prdm6	2601	7
Oosp3	807	0
Cryzl2	1632	480
Cdc42bpa	9451	5748
Slc30a10	5835	129
Sbspon	2748	71
Slc9a2	3493	771
Gpr55	2550	104
Usp40	5316	1187
Espnl	5442	10
Uap1l1	1729	4602
Ddx31	3437	745
Sel1l2	2219	0
Smim26	460	338
Kiz	2166	1651
Zfp217	5843	3643
Gmps	4567	5497
Fhdc1	6073	1758
Ciart	1395	652
Ampd1	2342	37
Elapor1	6151	442
Ndufb6	659	1928
Shb	2744	3148
Themis2	2542	504
Cox18	1334	801
Vsig10	4054	1206
Fbxl18	2831	1032
Pdap1	2139	7184
Ccdc61	2010	1095
Hipk4	2414	54
Ffar3	1625	0
Cnga4	2480	6
Cog7	2884	1891
Ppfia1	5259	4161
Tmem231	3000	346
Gucy1a2	13723	92
Zbtb16	7782	3279
Pate14	619	0
Dhrsx	1926	1939
Tmem185a	2513	1164
Arhgef9	5527	128
Frmpd4	9714	8
Gas2l3	6748	1408
Tmtc3	6630	2054
Myrfl	3114	2
Syndig1l	2499	0
Serpina3f	2290	135
Abcc4	5895	5223
Ttc38	3751	1643
Rimbp3	5848	8
Mmp25	3655	86
Lrrc30	1759	18
Zfp407	7908	1548
Cdc42bpg	5994	4843
Sec31b	3923	423
Dusp27	4025	265
Lrrc55	5912	250
D430041D05Rik	10402	10
Ralgapa2	9610	3824
Ankub1	1759	2
Bank1	3267	52
Grin3a	7711	21
Klhl21	3895	3914
Iqsec3	7795	8
Zfp568	7183	2788
Ntn5	2216	16
Cntn5	4270	45
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	12
Cdhr2	4127	3969
Mroh5	2350	0
Mucl3	2608	3144
Nlrc4	3838	746
Acvr1c	9049	8
Lrrc36	2498	2
Gm648	1040	2
Cdk15	1605	6
Srarp	905	2
Washc4	5858	3207
Dcp1b	3311	322
Itpripl2	6864	12716
Cacna2d4	5949	19
Zfp865	3958	2040
Tbc1d32	7239	702
Fubp3	3821	4814
Ipcef1	8804	68
Tmem104	4566	1122
Tmem88b	3471	68
Krt26	2600	8
Gfod1	6654	1756
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	135
Gm815	618	0
Rbm44	3851	4
Lgr6	3623	751
Rnf224	2021	6
Gm826	1097	12
Gm829	1090	0
Shisa3	3754	8
Bsph1	823	0
Ceacam16	1635	131
Dock1	6815	4985
Pate2	2215	0
Thoc2	7619	4435
Gm773	951	0
Fnd3c2	3658	0
Zscan10	2735	6
Grxcr2	1998	0
Lyg2	2564	0
Tmem211	1827	0
Trim75	2504	0
Kdm7a	9553	2328
Nlrp12	4329	770
Heca	3667	1367
Tmem102	1941	0
Gm884	4576	0
Milr1	2474	173
Atxn7l1	6485	1675
Lsmem1	1213	124
Gm906	3152	0
Lrch1	4707	1562
Alg10b	3727	3687
Gm1604b	781	0
Cdkl4	3341	14
Capn13	2614	34
Garem1	4783	1550
Arl14epl	2247	1
Gm960	2262	33
Ap5b1	3142	424
Tmem237	2135	995
Ifi211	1789	290
Zfp408	3742	1565
Accsl	2687	10
Pdp1	4398	1232
Ccdc27	2084	4
Nom1	3693	3557
Gm1673	552	38
Drc1	2466	165
Lrrc43	2046	0
Tatdn2	3292	5304
Cracr2a	8781	135
Spef1l	1228	22
Zbtb2	3351	979
Adgrg5	2820	137
Foxr1	1666	0
Cpxcr1	1596	0
Bclaf3	4215	556
Odf3l2	1248	0
Atxn7l3b	3599	6174
Tmed8	7179	1007
Gm1322	1966	0
Fam47e	2445	8
Gm1527	2119	0
Myrf	5597	19570
Iqgap3	5676	2624
Mfsd2b	3125	98
Rnf207	2479	159
Pusl1	1226	759
Mageb4	2401	0
Adgrf2	3283	10
Zfp213	2674	573
Gramd2	4156	368
