Geneid	Length	genome_mapping/Low_6556c3.rep5.RNAseq.mm10.sorted.bam
Il4ra	5219	20747
Dab2	4628	8510
Bud31	974	3934
Calm5	549	0
Kbtbd8	4732	208
Whrn	4406	314
Tmem232	2756	0
Adam6b	2271	0
Naaladl1	2689	106
Adam26b	2405	0
Adam20	2589	0
Zfp36l3	2613	0
Mup21	755	0
Unc13d	3967	2125
Taar5	1014	0
Armcx5	2824	383
Septin11	11141	14045
A3galt2	3390	61
Mief2	2522	880
Brsk2	4667	0
Txnip	2801	17835
Il19	1124	4
Dock11	6665	4973
Nrsn2	1422	0
Slc25a51	4437	7547
Slc38a8	2622	0
Cep44	1399	1086
Scgb2b20	520	0
Pde1a	5579	199
Slc10a7	3644	2496
Ficd	3161	507
Kctd14	2557	106
Taar7b	1077	0
Taar6	1038	0
Taar7a	1077	0
Taar8a	1035	0
Taar9	1047	0
Mdc1	7352	3641
Slc10a5	3923	42
Taar7e	1077	0
Ppp1r13l	3130	3228
Taar8b	1035	0
Taar7d	1077	0
Taar7f	1077	0
Taar8c	1109	0
Mrps33	1052	1246
Gjb6	2198	0
Gpr12	2760	0
Hrh2	5937	169
Olfr1193	957	0
Olfr94	1161	0
Olfr1148	945	0
Olfr310	1082	0
Olfr913	1275	0
Olfr1418	957	0
Olfr1415	936	0
Olfr503	972	0
Olfr456	1052	2
Olfr1251	957	4
Olfr723	1006	0
Olfr329	1037	0
Olfr1037	1125	0
Olfr688	966	0
Olfr988	930	0
Olfr1182	1178	0
Olfr566	1066	2
Olfr1532-ps1	1148	0
Olfr180	1142	0
Nms	1001	0
Rnase13	614	0
Olfr1000	945	0
Cyp2c66	1630	2
Olfr102	1027	0
Xkr7	2711	0
Olfr288	2083	0
Olfr1116	924	0
Olfr1066	942	0
Olfr205	918	0
Olfr1357	1160	0
Olfr744	972	0
Olfr885	930	0
Olfr225	1260	0
Olfr1386	1128	0
Olfr479	984	0
Olfr324	1122	0
Olfr867	996	0
Olfr704	948	0
Olfr294	1008	0
Olfr298	999	0
Olfr293	1011	0
Olfr115	995	0
Olfr735	1065	0
Olfr671	942	0
Olfr948	966	0
Olfr663	1035	0
Olfr1016	930	0
Olfr1031	1011	0
Olfr314	1131	0
Olfr1229	936	0
Olfr299	993	0
Olfr317	1128	0
Olfr332	1601	0
Olfr1089	936	0
Olfr1287	918	0
Olfr1028	975	0
Olfr1419	1160	0
Olfr527	918	0
Olfr1042	1097	0
Olfr285	960	0
Olfr286	1451	0
Olfr287	1776	0
Olfr543	1130	12
Olfr1039	960	0
Olfr987	930	0
Olfr1307	939	0
Olfr1432	1044	0
Olfr222	957	0
Olfr1382	936	0
Olfr193	1009	0
Olfr207	918	0
Olfr598	960	0
Olfr1322	933	0
Olfr1275	939	0
Olfr1249	957	0
Olfr782	945	0
Olfr884	930	0
Olfr453	954	0
Olfr212	2672	0
Olfr213	984	0
Olfr1318	1110	0
Olfr1306	939	0
Olfr1211	936	0
Olfr1385	930	0
Olfr901	936	0
Olfr191	930	0
Olfr198	921	0
Olfr728	936	0
Olfr485	954	0
Olfr487	945	0
Olfr951	945	0
Olfr93	939	0
Olfr524	957	0
Olfr533	963	0
Olfr1181	936	0
Olfr316	921	0
Olfr312	927	0
Olfr1359	992	0
Olfr804	945	0
Olfr787	939	0
Olfr834	939	0
Olfr832	939	0
Olfr1105	939	0
Olfr967	933	0
Olfr963	936	0
Olfr304	1002	0
Olfr761	972	0
Olfr119	1116	0
Olfr1500	936	0
Olfr1490	951	0
Olfr1137	933	0
Olfr1152	933	0
Olfr1162	945	0
Olfr1129	945	0
Olfr748	924	0
Olfr1437	1036	0
Olfr1463	933	0
Olfr1465	924	0
Olfr1474	945	0
Olfr597	948	0
Olfr517	945	0
Olfr591	945	0
Olfr675	942	0
Olfr792	936	0
Olfr1505	951	0
Olfr412	939	0
Olfr1029	1061	0
Olfr1425	936	0
Olfr605	1011	0
Olfr169	942	0
Olfr1331	954	0
Olfr685	951	0
Olfr504	957	0
Olfr965	939	0
Olfr1222	936	0
Olfr331	975	0
Olfr699	951	0
Olfr406	972	0
Olfr917	930	0
Olfr624	927	0
Olfr309	927	0
Olfr538	933	0
Olfr1178	972	0
Olfr452	954	0
Olfr1329	942	0
Olfr506	945	0
Olfr1034	1023	9
Xkr9	1926	81
Xkr4	3634	4
Rnase12	545	2
Ang6	714	0
Rnase11	713	0
Trex1	1137	0
Olfr857	930	0
Olfr835	936	0
Olfr1513	942	0
Birc5	3416	5123
Slc39a12	2676	46
Hsd3b3	1826	36
Defa23	418	0
Nsrp1	3116	1688
Slc25a47	1580	1062
Pgbd1	3580	96
Sctr	1922	2
Mup20	886	22
Ecm2	3596	272
Zfp708	2634	279
Zbtb18	5705	4855
Mdk	1403	219
Slc2a9	3865	315
Bpifb1	1712	1
Hacd1	1008	1269
AU022252	1867	692
Hspb6	1853	789
Hs3st6	1358	14
Ankrd6	5296	56
Cxcl12	7161	5808
Fut10	5095	830
Ehmt1	5107	3879
Klri1	838	39
Rims1	6949	1
Acd	1718	1904
AY761185	486	0
Smim19	1459	1422
Wfdc13	1074	4
Wfdc16	1121	0
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	200
Ear12	471	0
Zfp787	3027	1797
Dhrs7c	1124	46
Lrrn4cl	2600	393
Odf3b	1040	22
Mterf1a	1376	198
Usp13	4686	328
Tgfbrap1	5719	3063
Ttf2	4541	3431
Tmem263	3778	2691
Ctc1	4167	2750
Npcd	4873	0
Osm	1907	4391
Wdr91	2637	1922
Prkaa1	4655	5244
E2f8	3880	2861
Pfdn4	1059	2581
Sesn1	3339	1561
Dtx3l	5181	2826
Nrp	1170	124
Tmprss13	3244	6
Lman2l	2290	2738
Utp18	2613	3392
Rpp38	1027	409
Arhgef39	2402	791
Uspl1	3934	3766
Zfp930	2996	1013
Dync1li2	4633	10652
Rsad1	4151	1248
Lrrc52	1137	0
Podnl1	2080	213
Grm4	5265	4
Rasl10b	4010	38
Zfp182	5944	722
Mrs2	2161	1460
Scn4b	4757	22
Cpsf6	6572	8343
Gm11487	1323	0
Tcaim	3039	406
Nkain2	3745	4
Ccl26	282	0
Neurl4	5267	3957
Ric8b	4962	1672
Olfr112	1672	1
Inip	3216	2454
Pard3	8550	6972
Vmo1	672	4
Ercc6l2	6161	3172
Tex24	1767	0
Trim6	3827	421
Ddn	3740	8
Zfp57	3228	3903
Tmem151b	4851	75
Gm597	2882	0
Syna	2918	23
Pcdh17	9509	209
Gm9949	984	36
5730409E04Rik	2855	792
Grhl3	2791	6
Vwde	6597	10
Lingo3	3559	8
Gas2l2	2943	2
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	24
Ces1a	1979	32
Zscan4c	2276	2
Samd3	3554	8
Capn11	2575	0
Rsl1	2045	440
Lipo3	2842	473
Gm973	4375	6
Nxpe5	2312	709
Kpna7	2328	0
Fbxw24	1490	0
Zfp488	4301	0
Tvp23a	3313	168
Aim2	2537	502
Slc25a34	2682	130
Fam71b	2190	0
Ccdc92b	4002	32
Akr1c19	1242	988
Zscan26	4362	2951
Vmn1r209	939	0
Otulin	1489	2727
Spink6	777	0
Mettl21c	1086	4
Macrod2	5041	196
Flg2	7671	0
Ankrd13c	4317	6533
Gm5591	3441	2
Fam169b	2876	152
Maml2	6139	2871
Amt	2047	243
Gm5622	1581	0
Sp140	2416	872
Slc22a28	2004	0
Krtap4-16	951	2
Gm5662	1842	2
Dupd1	1103	6
Shf	1928	2145
Gpr31b	960	3
Prkg1	7378	146
Dyrk2	2137	2103
Adgrf3	3099	0
Fbxw22	1824	0
Zfp985	2827	13
Trcg1	2701	12
Abi3bp	4742	1681
Scn2b	4562	34
4930404N11Rik	695	0
Zmynd12	1505	4
Snx13	6226	4724
Ttll4	8164	5620
Espl1	6684	3648
Wdr7	7108	2106
Fam189b	3240	986
Cenpj	4363	1031
Klrh1	2000	0
Zfyve28	3980	56
Rap1gap2	7238	4592
G2e3	6726	4242
Dcaf1	5697	3942
E130308A19Rik	5481	906
Tyw1	6626	2956
Taf9	1334	3853
Arid3c	1751	2
Gm21943	1206	0
Gm20815	1796	0
Tbata	2023	1
Ear4	467	0
Kdm6b	6820	6048
Rasef	5183	4795
Cox17	436	2545
Btbd11	5955	3237
Zscan18	3772	51
Lamp2	6772	20670
Ddi2	3539	2003
Zdhhc18	2847	3313
Foxred2	4891	902
C2cd3	7812	3137
Dppa4	1534	0
Izumo1	1493	0
Grxcr1	1071	0
Otol1	2161	0
Sp3	4428	8172
Rtl8b	1272	351
Lce3f	620	0
Ldoc1	1340	2
Trim15	1866	341
Kbtbd7	4528	819
Anks6	3980	327
Pla2g4d	3286	0
Gpr139	4776	0
Adamts15	6078	1291
Nxf3	2978	0
Fbxo10	5970	683
Pla2g4f	3116	6
Ugt2a2	2536	0
Nufip2	10399	7084
Trappc1	745	2192
Defa24	419	0
Gm5431	2971	158
Crls1	2054	2663
Add1	4516	24264
Bcat1	8102	1946
Diras2	4348	314
Cdhr3	2953	3
Dcun1d2	3034	1568
Brd9	2494	3950
Fam149b	3149	2292
Larp4	6747	7665
Shc2	3957	3767
Snx32	1930	315
Cep170b	6640	20514
Ankrd28	5229	10791
Pdp2	5670	935
Cfap299	861	2
Rabl6	3191	6267
Inpp4b	9795	7146
Xirp2	11971	702
Tsku	2800	1719
Pcnp	2447	6124
Cdkl5	3246	163
Zfp873	2365	327
Carmil3	5308	29
Methig1	1449	0
Ifnl2	582	0
Cpa2	1325	13
Zbtb45	2238	894
C1ql4	717	0
Mctp2	5789	264
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	269
Krtap10-10	1305	0
Gm3696	2222	3
Cma2	1099	7
Triobp	7736	8760
Gal3st3	2422	2
Cyp2c67	1706	28
Hmcn1	18314	312
Ifi214	1294	2
Zfp607a	3511	328
Rps23rg1	1621	38
Cebpz	4077	5531
Adarb1	6706	4681
Gm128	1470	21
Hoxc11	915	4
Zfp62	5001	2534
Apol7b	2227	0
Gm14325	4394	794
Rhox10	760	0
Ankrd34a	2586	46
Timm9	1117	1732
Ttbk2	11268	1876
Septin10	5152	4537
N4bp2	5731	1837
Rfx4	4074	0
Bod1	1402	3725
Trp53i13	1366	681
Ddx49	2193	2901
Cyb5d2	2376	443
Pitpnm3	6666	291
Zfp667	3671	58
Rbfox3	4921	27
Pilrb2	1815	1265
Qsox1	3361	19374
Zfp563	6382	327
Rc3h1	11011	6024
Pbx4	1427	44
Pik3r1	7363	3498
Lrig2	7174	2462
Ntrk2	14037	264
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	6428
Arl14ep	3666	2238
Cracr2b	1687	1340
Ccdc93	7256	3485
Zfp78	4990	81
Cxadr	6951	24618
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	5609
Trp53i11	3322	1973
Vegfa	4174	25462
H2al1e	494	0
Tpd52	6331	31353
Dffa	2672	1481
Tfap2b	6502	30
Stx3	5097	1419
Pja2	4706	6210
St6galnac6	2695	1437
Dclre1b	4288	1051
Tapbp	2750	8033
Defb46	174	0
Gm6040	857	0
Klc1	3180	9731
Rtn2	2102	393
Miip	1813	1825
Serinc4	2534	130
Adcyap1r1	6245	419
Zfp943	2734	1024
Wdr61	1331	3425
Orc2	3561	3727
Sema3g	3686	221
Adam39	2441	0
Gpr17	5193	54
Insyn2b	5371	1
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	0
Olfr243	951	0
Eno1b	1758	1379
Sufu	4525	4154
Bclaf1	5454	13092
Src	3887	10805
Depdc5	8446	2280
Hmga1	2046	1882
Spag9	7864	13557
Btbd3	5111	3533
Crebbp	7507	3912
BC053393	2043	0
Camk2d	8588	16027
Aptx	5747	854
Sox6	9362	50
Pus1	1887	2609
Lhx9	5750	113
Dmbx1	4032	4
Pde1c	12826	72
Prrx1	7448	4074
Sh2d2a	4758	100
Ankrd12	8991	2573
Slc23a4	2158	143
Bpifb9b	2046	0
Cfhr2	1602	261
Ccdc141	6329	763
Maf	3642	2558
Kcnc2	6770	22
Dram2	2722	8224
Kcnj6	6959	0
Nr2c2ap	1193	242
Rfxank	3682	749
Zbtb43	5177	2068
Ikzf1	5664	1116
Trim26	3235	5539
Cadm1	4629	7168
Il1rl1	7096	466
Gm527	1463	207
Tmem171	1169	1496
Gm5168	840	0
Szrd1	3297	10907
Ms4a7	1716	684
Snx22	2585	96
Otud7b	8101	8725
Ccdc50	7048	12480
Cant1	3273	13176
Cdc6	5024	1953
Dnm1l	4270	7837
Dnajc19	2771	2170
Ensa	2962	10171
Entpd5	5076	3387
Npnt	4800	49694
Pik3cd	5404	2326
Pknox2	3550	182
Sla	3135	3320
Slc16a6	4841	1228
Vrk1	4133	3435
Magi1	9853	8230
Psme2	977	5983
Atad5	7272	1506
Ugt2b36	1888	309
Pdzd4	3972	260
Itgad	3964	14
Unc13a	7960	1247
Urb2	6098	3232
Nova2	8372	156
Lonrf2	6884	4
Usf3	12607	3208
Mex3a	6225	5507
Psg26	2058	0
Ate1	5356	2743
Zswim5	5397	37
Zmynd15	2992	1368
Gm5796	1815	4
Zfp114	3111	3
Usp32	6924	3838
Trim38	1480	0
Specc1	10856	10148
Sec14l3	3928	12
Rilp	1487	319
Gm4788	2887	173
Tceal3	1431	6
Safb2	3277	6983
Sec23ip	4577	4867
Man1b1	3742	7923
Fcrlb	1284	590
Kcp	4888	205
Doxl2	2492	0
Fat2	14423	202
Mettl17	1623	1145
Zc3h18	3816	7606
Mcat	1893	2212
Ndufs5	509	1471
Rdh8	3354	4
Kcnk15	1032	0
Spry3	4346	18
Prr7	1360	148
Tmprss11c	1615	0
Pmp2	1364	0
Dkc1	2978	5789
Abca17	5348	7
Gm16367	2037	0
Nudt10	1751	0
Gsk3a	2259	4066
Lin28b	5403	8
Mrpl41	2423	1237
Kcnh8	4287	0
Smg1	15553	13499
Agxt2	2286	143
Bglap2	473	2
Pecam1	3333	4212
Pear1	4713	16136
Sybu	4355	26
Klhdc9	1555	4
Ccdc189	2573	66
Acmsd	2303	35
Lrrc14b	2746	123
Rnf17	5147	3
Cd69	1621	169
Gm14288	428	0
Ntrk1	2588	16
Cd27	1576	24
Bbs1	5597	512
Krtdap	462	4
Commd6	875	1683
Rnf149	2434	7530
Rmdn3	2252	2982
Spindoc	3618	2391
Sdhaf1	967	702
Ecscr	1244	2662
Rnf166	1875	3256
Dipk2a	3950	1258
1700029J07Rik	2744	80
Ttc9	4778	4158
Plekhm2	4163	2868
Dnajb14	1851	1852
Fbxo33	3446	2119
5730507C01Rik	2542	28
Rasl12	3876	579
Zfp597	5630	1435
Tradd	1385	2491
Shcbp1l	2045	26
Ephx3	2423	30
2510002D24Rik	1232	1843
Dnajc25	1827	2003
Selenoh	685	4753
Slc22a23	6287	6328
1700066B19Rik	2504	386
Fam83e	2900	1074
Klrg2	2282	910
Rab11fip2	6080	1545
Usp31	10387	2818
Osbp	4587	7361
Cln6	2142	1089
Slc6a21	1732	0
Krt76	2312	9
Tmem181a	4620	2260
Jrkl	2952	1162
1700057G04Rik	1052	0
Ccdc190	1443	37
Skap1	2190	68
C77080	5659	13837
Naa11	3364	139
Fam8a1	3717	6906
Gtf3c3	4764	3110
Znfx1	7349	3371
AU015228	2982	0
Clca4b	2997	0
Ncbp1	3111	11596
Usp30	2790	2045
Rpusd3	1277	290
Zfp575	2741	22
Pwwp2b	2640	1956
Nlrc5	6945	946
Myzap	2283	3712
Xylb	3978	1135
Pls1	3697	4868
Ezhip	2203	0
Rprml	1072	2
Ttc7b	3508	893
E330034G19Rik	1587	0
Zfp957	2751	2
Prickle1	4356	532
Slc45a4	7657	3007
AU021092	1372	279
Mpig6b	2382	2
Pdzd8	7076	6046
Lin7a	6835	88
Pnrc1	1925	11460
Calr4	2527	10
Slc5a10	2263	6
Itga1	5982	5730
Cyp11b1	2398	0
Mcrip1	1694	3884
Tmprss11a	2657	0
Gm9	1663	0
Trim40	2197	31
Vcpkmt	1980	1604
Yeats2	7344	4650
Cblb	6322	3368
Csta1	2731	2
Wfdc6a	867	2
Gm382	4070	0
Cln5	2447	2886
Fancd2	5515	1855
Hk3	3269	1128
Ccdc110	4116	0
Cfap44	6583	4
Gm266	1215	45
Zfp583	2765	24
Lemd1	1252	5
Gpr174	5384	39
Gm732	1661	0
Plekhg1	7414	380
Pak6	4193	736
Gm136	1303	0
Spata5l1	1321	747
Phactr2	9042	916
Arfgef3	8216	104
Mcu	2872	6682
Stox1	3475	14
Zfc3h1	6956	7432
Marchf9	1998	321
Agap2	5634	357
Gls2	2489	1033
Gm525	581	0
Qrich2	2162	13
Fam120a	5151	36533
Eif4e1b	2113	0
Slc4a7	7925	6688
Pip4p1	1608	2425
Spata13	7844	9843
5031439G07Rik	7157	13327
Brd1	5137	9985
Gxylt1	6734	5438
Kmt2d	19827	15133
Spryd3	2437	4202
Ilrun	3812	13984
Gm94	748	2
Prdm6	2601	12
Oosp3	807	0
Cryzl2	1632	356
Cdc42bpa	9451	7106
Slc30a10	5835	25
Sbspon	2748	29
Slc9a2	3493	4356
Gpr55	2550	449
Usp40	5316	3596
Espnl	5442	11
Uap1l1	1729	3435
Ddx31	3437	1291
Sel1l2	2219	0
Smim26	460	449
Kiz	2166	2035
Zfp217	5843	4303
Gmps	4567	10112
Fhdc1	6073	1029
Ciart	1395	479
Ampd1	2342	9
Elapor1	6151	74
Ndufb6	659	2681
Shb	2744	5527
Themis2	2542	1218
Cox18	1334	657
Vsig10	4054	1515
Fbxl18	2831	851
Pdap1	2139	10843
Ccdc61	2010	1640
Hipk4	2414	59
Ffar3	1625	0
Cnga4	2480	0
Cog7	2884	2239
Ppfia1	5259	5978
Tmem231	3000	255
Gucy1a2	13723	172
Zbtb16	7782	880
Pate14	619	15
Dhrsx	1926	2380
Tmem185a	2513	2166
Arhgef9	5527	78
Frmpd4	9714	0
Gas2l3	6748	1719
Tmtc3	6630	3585
Myrfl	3114	4
Syndig1l	2499	0
Serpina3f	2290	57
Abcc4	5895	8640
Ttc38	3751	1026
Rimbp3	5848	16
Mmp25	3655	573
Lrrc30	1759	6
Zfp407	7908	2800
Cdc42bpg	5994	3610
Sec31b	3923	147
Dusp27	4025	52
Lrrc55	5912	168
D430041D05Rik	10402	2
Ralgapa2	9610	6790
Ankub1	1759	0
Bank1	3267	109
Grin3a	7711	25
Klhl21	3895	4888
Iqsec3	7795	6
Zfp568	7183	3109
Ntn5	2216	11
Cntn5	4270	12
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	14
Cdhr2	4127	1436
Mroh5	2350	0
Mucl3	2608	4748
Nlrc4	3838	1778
Acvr1c	9049	14
Lrrc36	2498	18
Gm648	1040	0
Cdk15	1605	1
Srarp	905	2
Washc4	5858	4204
Dcp1b	3311	668
Itpripl2	6864	22356
Cacna2d4	5949	12
Zfp865	3958	2274
Tbc1d32	7239	951
Fubp3	3821	5513
Ipcef1	8804	231
Tmem104	4566	1794
Tmem88b	3471	61
Krt26	2600	0
Gfod1	6654	3303
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	575
Gm815	618	0
Rbm44	3851	10
Lgr6	3623	2237
Rnf224	2021	26
Gm826	1097	8
Gm829	1090	0
Shisa3	3754	6
Bsph1	823	0
Ceacam16	1635	181
Dock1	6815	6002
Pate2	2215	11
Thoc2	7619	5989
Gm773	951	0
Fnd3c2	3658	0
Zscan10	2735	0
Grxcr2	1998	0
Lyg2	2564	0
Tmem211	1827	4
Trim75	2504	0
Kdm7a	9553	5180
Nlrp12	4329	344
Heca	3667	2525
Tmem102	1941	0
Gm884	4576	0
Milr1	2474	404
Atxn7l1	6485	2055
Lsmem1	1213	38
Gm906	3152	0
Lrch1	4707	2584
Alg10b	3727	6803
Gm1604b	781	0
Cdkl4	3341	8
Capn13	2614	206
Garem1	4783	1031
Arl14epl	2247	4
Gm960	2262	45
Ap5b1	3142	573
Tmem237	2135	1906
Ifi211	1789	1396
Zfp408	3742	1557
Accsl	2687	3
Pdp1	4398	2258
Ccdc27	2084	0
Nom1	3693	3876
Gm1673	552	53
Drc1	2466	153
Lrrc43	2046	0
Tatdn2	3292	9538
Cracr2a	8781	347
Spef1l	1228	103
Zbtb2	3351	1437
Adgrg5	2820	372
Foxr1	1666	0
Cpxcr1	1596	0
Bclaf3	4215	1148
Odf3l2	1248	0
Atxn7l3b	3599	8484
Tmed8	7179	1493
Gm1322	1966	0
Fam47e	2445	6
Gm1527	2119	0
Myrf	5597	28970
Iqgap3	5676	5853
Mfsd2b	3125	72
Rnf207	2479	48
